fecha,obs,pred_persistencia,pred_climatologia
2026-02-18,74.9,38.35,34.38184210526316
2026-02-19,35.79,74.9,34.43378846153846
2026-02-20,30.0,35.79,34.43552496798976
2026-02-21,40.58,30.0,34.42985294117647
2026-02-22,51.91,40.58,34.437707535121326
2026-02-23,55.89,51.91,34.45999362244898
2026-02-24,28.58,55.89,34.487292993630575
2026-02-25,28.58,28.58,34.47977735368957
2026-02-26,27.55,28.58,34.47228081321474
2026-02-27,25.98,27.55,34.4634961928934
2026-02-28,26.08,25.98,34.45274397972116
2026-03-01,19.9,26.08,34.44214556962025
2026-03-02,79.4,19.9,34.423761061946905
2026-03-03,18.61,79.4,34.480549242424246
2026-03-04,41.67,18.61,34.46053593947037
2026-03-05,23.03,41.67,34.46961586901763
2026-03-06,47.9,23.03,34.45522641509434
2026-03-07,47.33,47.9,34.472116834170855
2026-03-08,67.25,47.33,34.48824968632371
2026-03-09,30.24,67.25,34.52930451127819
2026-03-10,26.47,30.24,34.523936170212764
2026-03-11,27.4,26.47,34.51386875
2026-03-12,23.57,27.4,34.50498751560549
2026-03-13,18.02,23.57,34.49135286783042
2026-03-14,20.78,18.02,34.470840597758404
2026-03-15,20.23,20.78,34.45381218905473
2026-03-16,23.01,20.23,34.43614285714286
2026-03-17,28.41,23.01,34.421966501240696
2026-03-18,18.73,28.41,34.414516728624534
2026-03-19,20.61,18.73,34.3951051980198
2026-03-20,24.94,20.61,34.378065512978985
2026-03-21,19.45,24.94,34.36641358024691
2026-03-22,16.96,19.45,34.34802096177558
2026-03-23,22.65,16.96,34.32660714285714
2026-03-24,32.26,22.65,34.31224477244773
2026-03-25,25.72,32.26,34.30972358722359
2026-03-26,22.35,25.72,34.299184049079756
2026-03-27,34.38,22.35,34.284540441176475
2026-03-28,21.7,34.38,34.28465728274173
2026-03-29,38.55,21.7,34.26927261613692
2026-03-30,31.68,38.55,34.27449938949939
2026-03-31,32.05,31.68,34.27133536585366
2026-04-01,28.1,32.05,34.268629719853834
2026-04-02,31.43,28.1,34.26112530413625
2026-04-03,30.97,31.43,34.257685297691374
2026-04-04,42.27,30.97,34.25369538834951
2026-04-05,60.63,42.27,34.26341212121212
2026-04-06,26.79,60.63,34.295332929782084
2026-04-07,52.06,26.79,34.28625755743652
2026-04-08,116.4,52.06,34.307723429951686
2026-04-09,28.58,116.4,34.40674909529554
2026-04-10,23.96,28.58,34.39972891566265
2026-04-11,37.84,23.96,34.38716606498195
2026-04-12,27.63,37.84,34.391316105769235
2026-04-13,24.95,27.63,34.38319927971189
2026-04-14,20.94,24.95,34.37188848920863
2026-04-15,66.39,20.94,34.35580239520958
2026-04-16,111.19,66.39,34.39412081339713
2026-04-17,55.44,111.19,34.485872162485066
2026-04-18,26.22,55.44,34.51087708830549
2026-04-19,36.46,26.22,34.50099523241955
2026-04-20,37.21,36.46,34.50332738095238
2026-04-21,71.04,37.21,34.50654577883472
2026-04-22,40.41,71.04,34.54993467933492
2026-04-23,49.98,40.41,34.556886120996445
2026-04-24,76.24,49.98,34.57515995260664
2026-04-25,85.45,76.24,34.6244674556213
2026-04-26,70.63,85.45,34.68454491725768
2026-04-27,31.77,70.63,34.726983471074384
2026-04-28,59.51,31.77,34.72349646226415
2026-04-29,56.02,59.51,34.752691401648995
2026-04-30,31.49,56.02,34.777711764705884
2026-05-01,31.3,31.49,34.77384841363102
