fecha,obs,pred_persistencia,pred_climatologia
2026-02-18,19.17,16.88,17.342234916559693
2026-02-19,15.3,19.17,17.344578205128204
2026-02-20,13.79,15.3,17.341960307298336
2026-02-21,13.38,13.79,17.337418158567775
2026-02-22,12.73,13.38,17.33236398467433
2026-02-23,16.37,12.73,17.32649362244898
2026-02-24,22.68,16.37,17.32527515923567
2026-02-25,22.68,22.68,17.332087786259542
2026-02-26,17.21,22.68,17.338883100381192
2026-02-27,15.62,17.21,17.338719543147207
2026-02-28,14.24,15.62,17.336541191381496
2026-03-01,13.49,14.24,17.33262151898734
2026-03-02,13.27,13.49,17.32776359039191
2026-03-03,12.15,13.27,17.322640151515152
2026-03-04,13.67,12.15,17.31611727616646
2026-03-05,13.42,13.67,17.311525188916878
2026-03-06,12.62,13.42,17.306630188679247
2026-03-07,12.09,12.62,17.300742462311558
2026-03-08,12.4,12.09,17.294204516938517
2026-03-09,12.47,12.4,17.288071428571428
2026-03-10,12.7,12.47,17.282041301627036
2026-03-11,13.8,12.7,17.27631375
2026-03-12,13.08,13.8,17.271973782771536
2026-03-13,14.3,13.08,17.26674688279302
2026-03-14,11.65,14.3,17.263052303860523
2026-03-15,10.97,11.65,17.256070895522388
2026-03-16,12.26,10.97,17.248262111801242
2026-03-17,12.3,12.26,17.242073200992557
2026-03-18,39.8,12.3,17.235949194547707
2026-03-19,21.36,39.8,17.263875
2026-03-20,17.72,21.36,17.268938195302844
2026-03-21,15.79,17.72,17.269495061728396
2026-03-22,18.39,15.79,17.267670776818743
2026-03-23,15.81,18.39,17.269052955665025
2026-03-24,15.14,15.81,17.267258302583027
2026-03-25,14.02,15.14,17.264644963144963
2026-03-26,12.93,14.02,17.260663803680984
2026-03-27,12.93,12.93,17.255356617647056
2026-03-28,13.37,12.93,17.250062423500612
2026-03-29,12.74,13.37,17.245319070904646
2026-03-30,14.38,12.74,17.23981807081807
2026-03-31,16.32,14.38,17.236330487804878
2026-04-01,20.42,16.32,17.2352143727162
2026-04-02,28.84,20.42,17.23908880778589
2026-04-03,16.99,28.84,17.25318469015796
2026-04-04,16.35,16.99,17.252865291262136
2026-04-05,14.92,16.35,17.251770909090908
2026-04-06,14.23,14.92,17.24894794188862
2026-04-07,12.82,14.23,17.24529746070133
2026-04-08,17.03,12.82,17.239952898550726
2026-04-09,17.03,17.03,17.239699638118214
2026-04-10,13.5,17.03,17.23944698795181
2026-04-11,16.13,13.5,17.234947051744886
2026-04-12,12.39,16.13,17.233618990384613
2026-04-13,13.05,12.39,17.22780432172869
2026-04-14,14.78,13.05,17.222794964028775
2026-04-15,15.08,14.78,17.219869461077845
2026-04-16,24.02,15.08,17.21730980861244
2026-04-17,49.72,24.02,17.225437275985662
2026-04-18,32.78,49.72,17.264213603818614
2026-04-19,24.77,32.78,17.282706793802145
2026-04-20,31.02,24.77,17.291620238095238
2026-04-21,25.35,31.02,17.307944114149823
2026-04-22,23.25,25.35,17.317495249406175
2026-04-23,21.54,23.25,17.32453262158956
2026-04-24,19.9,21.54,17.32952725118483
2026-04-25,29.28,19.9,17.33256923076923
2026-04-26,41.97,29.28,17.346691489361703
2026-04-27,25.06,41.97,17.375762691853602
2026-04-28,27.31,25.06,17.38482429245283
2026-04-29,20.39,27.31,17.39651472320377
2026-04-30,17.26,20.39,17.400036470588237
2026-05-01,14.43,17.26,17.399871915393653
2026-05-02,30.13,14.43,17.39638615023474
2026-05-03,20.75,30.13,17.411314185228605
2026-05-04,30.19,20.75,17.415223653395785
2026-05-05,23.62,30.19,17.430164912280702
2026-05-06,17.47,23.62,17.437396028037384
2026-05-07,16.11,17.47,17.43743407234539
2026-05-08,14.51,16.11,17.435886946386947
2026-05-09,13.7,14.51,17.43248079161816
2026-05-10,13.53,13.7,17.42814069767442
2026-05-11,13.11,13.53,17.423613240418117
2026-05-12,12.88,13.11,17.418609048723898
2026-05-13,12.43,12.88,17.41334994206257
2026-05-14,14.72,12.43,17.407582175925924
2026-05-15,13.43,14.72,17.40447514450867
2026-05-16,12.98,13.43,17.399885681293302
2026-05-17,12.24,12.98,17.394787773933103
2026-05-18,12.53,12.24,17.388849078341014
2026-05-19,12.44,12.53,17.383257767548905
2026-05-20,11.23,12.44,17.377575862068966
2026-05-21,11.37,11.23,17.3705177956372
2026-05-22,16.18,11.37,17.363636467889908
2026-05-23,12.44,16.18,17.36228064146621
2026-05-24,15.24,12.44,17.356648741418763
2026-05-25,11.51,15.24,17.35422971428571
2026-05-26,10.94,11.51,17.347558219178083
2026-05-27,10.61,10.94,17.340251995438997
2026-05-28,11.69,10.61,17.332586560364465
2026-05-29,10.86,11.69,17.32616723549488
2026-05-30,11.73,10.86,17.318819318181816
2026-05-31,10.7,11.73,17.312475595913735
2026-06-01,9.71,10.7,17.304978458049888
2026-06-02,9.64,9.71,17.296377123442806
2026-06-03,11.21,9.64,17.287716063348416
2026-06-04,11.21,11.21,17.28084858757062
2026-06-05,12.71,11.21,17.273996613995486
2026-06-06,10.55,12.71,17.268851183765502
2026-06-07,13.87,10.55,17.26128490990991
2026-06-08,23.48,13.87,17.257470191226098
2026-06-09,23.19,23.48,17.26446179775281
2026-06-10,17.27,23.19,17.271112233445567
2026-06-11,15.39,17.27,17.271110986547086
2026-06-12,11.38,15.39,17.269004479283314
2026-06-13,11.38,11.38,17.262417225950784
2026-06-14,12.97,11.38,17.25584469273743
2026-06-15,12.19,12.97,17.25106138392857
2026-06-16,11.74,12.19,17.24541917502787
2026-06-17,10.26,11.74,17.23928841870824
2026-06-18,14.2,10.26,17.231525027808676
2026-06-19,17.57,14.2,17.228156666666667
2026-06-20,17.44,17.57,17.228536071032188
2026-06-21,19.82,17.44,17.228770509977828
2026-06-22,16.96,19.82,17.231640088593576
2026-06-23,34.95,16.96,17.23133960176991
2026-06-24,19.27,34.95,17.2509182320442
2026-06-25,12.44,19.27,17.253146799116998
2026-06-26,12.36,12.44,17.247840132304297
2026-06-27,11.6,12.36,17.24245704845815
2026-06-28,11.19,11.6,17.2362497249725
2026-06-29,10.55,11.19,17.229605494505495
2026-06-30,10.18,10.55,17.22227332601537
2026-07-01,10.89,10.18,17.21455153508772
2026-07-02,11.0,10.89,17.207624315443592
2026-07-03,10.74,11.0,17.200832603938732
2026-07-04,10.39,10.74,17.19377158469945
2026-07-05,10.23,10.39,17.186343886462883
2026-07-06,10.09,10.23,17.17875790621592
2026-07-07,9.52,10.09,17.17103594771242
2026-07-08,9.32,9.52,17.162710554951033
2026-07-09,9.57,9.32,17.154185869565218
2026-07-10,9.37,9.57,17.145951140065147
2026-07-11,9.57,9.37,17.137517353579174
2026-07-12,11.87,9.57,17.12931852654388
2026-07-13,10.38,11.87,17.123626623376623
2026-07-14,9.27,10.38,17.11633621621622
2026-07-15,8.72,9.27,17.107862850971923
2026-07-16,8.8,8.72,17.09881445523193
2026-07-17,8.37,8.8,17.08987176724138
2026-07-18,8.48,8.37,17.080485468245424
2026-07-19,8.44,8.48,17.071237634408604
2026-07-20,16.44,8.44,17.061966702470464
2026-07-21,19.07,16.44,17.061299356223174
2026-07-22,11.02,19.07,17.063452304394424
2026-07-23,16.02,11.02,17.056981798715203
2026-07-24,22.74,16.02,17.055872727272728
2026-07-25,11.8,22.74,17.06194551282051
2026-07-26,15.17,11.8,17.05632977588047
2026-07-27,11.55,15.17,17.054318763326226
2026-07-28,10.52,11.55,17.048456869009584
2026-07-29,10.71,10.52,17.04151170212766
2026-07-30,9.63,10.71,17.034783209351755
2026-07-31,9.22,9.63,17.026922505307855
2026-08-01,8.92,9.22,17.018643690349947
2026-08-02,8.64,8.92,17.01006461864407
2026-08-03,8.6,8.64,17.001207407407406
2026-08-04,8.87,8.6,16.992326638477802
2026-08-05,9.24,8.87,16.98374973600845
2026-08-06,8.63,9.24,16.975581223628694
2026-08-07,8.37,8.63,16.96678714436249
2026-08-08,8.21,8.37,16.957737894736844
2026-08-09,8.42,8.21,16.948539432176656
2026-08-10,8.16,8.42,16.939580882352942
2026-08-11,7.75,8.16,16.930368310598112
2026-08-12,7.78,7.75,16.920745283018867
2026-08-13,7.57,7.78,16.91117382198953
2026-08-14,7.53,7.57,16.90140271966527
2026-08-15,7.36,7.53,16.89161024033438
2026-08-16,7.91,7.36,16.88166075156576
2026-08-17,13.42,7.91,16.872305526590196
2026-08-18,15.11,13.42,16.868709374999998
2026-08-19,9.97,15.11,16.866879292403745
2026-08-20,8.86,9.97,16.859709979209978
2026-08-21,8.69,8.86,16.85140290758048
2026-08-22,8.58,8.69,16.842936721991702
2026-08-23,8.31,8.58,16.83437409326425
2026-08-24,8.1,8.31,16.825549689440994
2026-08-25,7.86,8.1,16.816526370217165
2026-08-26,7.77,7.86,16.807273760330578
2026-08-27,7.7,7.77,16.797947368421053
2026-08-28,8.1,7.7,16.788568041237113
2026-08-29,11.62,8.1,16.77961997940268
2026-08-30,12.56,11.62,16.774311728395062
2026-08-31,9.19,12.56,16.769980472764647
