fecha,volumen_sin_solar_kwh,hidro_sin_solar_kwh,volumen_piloto_kwh,hidro_piloto_kwh,volumen_intermedio_kwh,hidro_intermedio_kwh,volumen_agresivo_kwh,hidro_agresivo_kwh
2021-01-01,3796812500.0,12659762.0,3796830900.0,12641402.0,3797370700.0,12101629.0,3798178100.0,11294172.0
2021-01-02,3806106400.0,13236026.0,3806144100.0,13216678.0,3807252700.0,12647850.0,3808911100.0,11796929.0
2021-01-03,3819649000.0,6234409.0,3819706300.0,6214864.5,3821389500.0,5640257.4,3823907400.0,4780692.1
2021-01-04,3822831400.0,11874218.0,3822911300.0,11851530.0,3825261600.0,11184507.0,3828777300.0,10186695.0
2021-01-05,3822158100.0,13357778.0,3822258900.0,13336917.0,3825222400.0,12723612.0,3829655700.0,11806158.0
2021-01-06,3823140200.0,13372346.0,3823260500.0,13352781.0,3826799300.0,12777566.0,3832093000.0,11917092.0
2021-01-07,3824473500.0,12426674.0,3824612500.0,12408018.0,3828699700.0,11859554.0,3834813900.0,11039096.0
2021-01-08,3831444200.0,13082330.0,3831595000.0,13070473.0,3836030800.0,12721896.0,3842666400.0,12200452.0
2021-01-09,3835618800.0,12580346.0,3835787000.0,12563060.0,3840731000.0,12054852.0,3848126800.0,11294615.0
2021-01-10,3850776100.0,10642417.0,3850966300.0,10620394.0,3856557800.0,9972909.2,3864922200.0,9004324.4
2021-01-11,3873127600.0,12624554.0,3873336300.0,12606063.0,3879471400.0,12062437.0,3888649100.0,11249217.0
2021-01-12,3896603800.0,62712.0,3896834300.0,40923.87,3903010300.0,0.0,3912188000.0,0.0
2021-01-13,3915766700.0,65116.8,3916020300.0,41946.12,3922238300.0,0.0,3931416000.0,0.0
2021-01-14,3931937400.0,67521.6,3932213200.0,45346.98,3938476500.0,0.0,3947654200.0,0.0
2021-01-15,3945719100.0,69926.4,3946017200.0,47579.4,3952328100.0,0.0,3961505800.0,0.0
2021-01-16,3960437000.0,72331.2,3960758000.0,49510.74,3967118400.0,0.0,3976296100.0,0.0
2021-01-17,3975280000.0,74736.0,3975625800.0,49918.74,3982036100.0,0.0,3991213800.0,0.0
2021-01-18,3978296000.0,9785377.3,3978664900.0,9762325.6,3985752900.0,9084604.7,3995944400.0,8070789.6
2021-01-19,3977708900.0,13372778.0,3978102500.0,13348062.0,3985917200.0,12621416.0,3997195700.0,11534412.0
2021-01-20,3977305600.0,13185362.0,3977721400.0,13163148.0,3986189200.0,12510056.0,3998444600.0,11533084.0
2021-01-21,3976897000.0,13375226.0,3977332100.0,13355852.0,3986369500.0,12786244.0,3999477000.0,11934157.0
2021-01-22,3976263300.0,13299866.0,3976719600.0,13278660.0,3986380500.0,12655208.0,4000420600.0,11722574.0
2021-01-23,3977796400.0,13292810.0,3978270600.0,13274956.0,3988456400.0,12750042.0,4003281700.0,11964815.0
2021-01-24,3981517300.0,12525722.0,3982011800.0,12505382.0,3992795600.0,11907408.0,4008515400.0,11012886.0
2021-01-25,3984771100.0,12883898.0,3985286900.0,12862620.0,3996696200.0,12237046.0,4013351900.0,11301239.0
2021-01-26,3986763500.0,13258826.0,3987295400.0,13242821.0,3999175200.0,12772279.0,4016534800.0,12068387.0
2021-01-27,3987276300.0,13336730.0,3987830800.0,13314074.0,4000376700.0,12647991.0,4018732700.0,11651586.0
2021-01-28,3987044500.0,13254866.0,3987618200.0,13235708.0,4000727400.0,12672464.0,4019925900.0,11829896.0
2021-01-29,3986460200.0,13258874.0,3987056400.0,13236307.0,4000829000.0,12572838.0,4021020100.0,11580343.0
2021-01-30,3985561200.0,13248722.0,3986182500.0,13223708.0,4000690500.0,12488302.0,4021981700.0,11388194.0
2021-01-31,3984304400.0,13318682.0,3984950500.0,13293768.0,4000191000.0,12561309.0,4022577900.0,11465609.0
2021-02-01,3983350900.0,13288130.0,3984016700.0,13268470.0,3999835300.0,12690469.0,4023086800.0,11825827.0
2021-02-02,3980944300.0,13302722.0,3981632400.0,13280446.0,3998105800.0,12625531.0,4022337000.0,11645832.0
2021-02-03,3981807400.0,13208738.0,3982515000.0,13189211.0,3999562500.0,12615120.0,4024652500.0,11756326.0
2021-02-04,3986598300.0,13317506.0,3987328500.0,13294889.0,4005040900.0,12629965.0,4031125600.0,11635291.0
2021-02-05,3999278300.0,13328498.0,4000026000.0,13310944.0,4018254600.0,12794859.0,4045111300.0,12022839.0
2021-02-06,4001023800.0,13340258.0,4001792100.0,13319713.0,4020624700.0,12715708.0,4048384900.0,11812164.0
2021-02-07,4001341600.0,13322162.0,4002130100.0,13302071.0,4021553300.0,12711388.0,4050197100.0,11827775.0
2021-02-08,4002064200.0,13040666.0,4002869400.0,13023819.0,4022788000.0,12528510.0,4052172800.0,11787570.0
2021-02-09,4002895700.0,12629978.0,4003715800.0,12615139.0,4024070600.0,12178893.0,4054108000.0,11526303.0
2021-02-10,4012625700.0,13201634.0,4013464300.0,13183098.0,4034364000.0,12638154.0,4065216600.0,11822961.0
2021-02-11,4014279400.0,12231554.0,4015137800.0,12211838.0,4036617100.0,11632186.0,4068336800.0,10765073.0
2021-02-12,4013879800.0,13338938.0,4014750900.0,13326147.0,4036606400.0,12950085.0,4068888600.0,12387527.0
2021-02-13,4012776200.0,12949226.0,4013663500.0,12933034.0,4035995000.0,12456988.0,4068989300.0,11744863.0
2021-02-14,4010816200.0,13371170.0,4011719400.0,13355298.0,4034517500.0,12888666.0,4068209900.0,12190623.0
2021-02-15,4009158000.0,13302506.0,4010082700.0,13280978.0,4033513700.0,12648055.0,4068153000.0,11701253.0
2021-02-16,4006930200.0,13369034.0,4007876100.0,13347935.0,4031927400.0,12727612.0,4067494600.0,11799661.0
2021-02-17,4004595500.0,13320578.0,4005560000.0,13301885.0,4030160900.0,12752320.0,4066550200.0,11930215.0
2021-02-18,4009882300.0,13323530.0,4010860900.0,13309449.0,4035875900.0,12895457.0,4072884400.0,12276160.0
2021-02-19,4016914700.0,13350506.0,4017907900.0,13335888.0,4043352600.0,12906131.0,4081004100.0,12263250.0
2021-02-20,4017566900.0,13342586.0,4018577400.0,13325381.0,4044527900.0,12819570.0,4082936000.0,12062918.0
2021-02-21,4024717800.0,13245290.0,4025743900.0,13229568.0,4052156600.0,12767339.0,4091256200.0,12075882.0
2021-02-22,4028617300.0,13355666.0,4029660500.0,13338597.0,4056575000.0,12836776.0,4096425300.0,12086093.0
2021-02-23,4033315500.0,13330250.0,4034374000.0,13315031.0,4061735900.0,12867605.0,4102255500.0,12198292.0
2021-02-24,4035211300.0,13336874.0,4036291000.0,13315589.0,4064278700.0,12689797.0,4105734400.0,11753664.0
2021-02-25,4036410800.0,13343882.0,4037510200.0,13324171.0,4066077500.0,12744656.0,4108400100.0,11877749.0
2021-02-26,4041154700.0,13128386.0,4042274000.0,13108520.0,4071425300.0,12524465.0,4114621600.0,11650766.0
2021-02-27,4044457100.0,13331498.0,4045593900.0,13314019.0,4075259100.0,12800136.0,4119224100.0,12031408.0
2021-02-28,4051209700.0,13325234.0,4052364500.0,13307166.0,4082560900.0,12775981.0,4127320500.0,11981371.0
2021-03-01,4056132900.0,13107242.0,4057308800.0,13086165.0,4088124900.0,12466508.0,4133811500.0,11539552.0
2021-03-02,4069413800.0,11741882.0,4070609600.0,11721992.0,4102010400.0,11137249.0,4148571800.0,10262522.0
