fecha,volumen_sin_solar_kwh,hidro_sin_solar_kwh,volumen_piloto_kwh,hidro_piloto_kwh,volumen_intermedio_kwh,hidro_intermedio_kwh,volumen_agresivo_kwh,hidro_agresivo_kwh
2021-01-01,3805966500.0,3505786.7,3805984900.0,3487427.1,3806524600.0,2947653.6,3807332100.0,2140196.7
2021-01-02,3824704900.0,3791503.5,3824742600.0,3772155.6,3825851200.0,3203327.3,3827509600.0,2352406.7
2021-01-03,3840696600.0,3785333.2,3840753800.0,3765788.7,3842437000.0,3191181.6,3844955000.0,2331616.2
2021-01-04,3851479000.0,4274196.3,3851558900.0,4251508.4,3853909200.0,3584485.3,3857424900.0,2586673.2
2021-01-05,3859803800.0,4359653.5,3859904600.0,4338792.8,3862868200.0,3725487.9,3867301400.0,2808033.9
2021-01-06,3869754800.0,4403434.2,3869875200.0,4383869.1,3873413900.0,3808654.3,3878707600.0,2948179.9
2021-01-07,3879077400.0,4437370.4,3879216400.0,4418715.1,3883303700.0,3870250.4,3889417800.0,3049792.1
2021-01-08,3894751700.0,4378718.1,3894902600.0,4366861.7,3899338400.0,4018283.8,3905974000.0,3496839.8
2021-01-09,3907344500.0,4162190.6,3907512700.0,4144904.6,3912456700.0,3636697.1,3919852500.0,2876460.2
2021-01-10,3929266600.0,3877572.3,3929456800.0,3855549.0,3935048300.0,3208064.0,3943412700.0,2239479.3
2021-01-11,3960277000.0,3965737.7,3960485700.0,3947247.1,3966620800.0,3403621.1,3975798400.0,2590401.0
2021-01-12,3979342300.0,4473579.3,3979572800.0,4451791.2,3986348500.0,3811220.1,3996484300.0,2852978.2
2021-01-13,3994064600.0,4505737.9,3994318200.0,4482567.2,4001775100.0,3801349.2,4012930000.0,2782302.7
2021-01-14,4005764900.0,4537860.9,4006040700.0,4515686.3,4014149600.0,3863752.4,4026279700.0,2888512.7
2021-01-15,4015060900.0,4555618.4,4015359100.0,4533271.4,4024124900.0,3876269.6,4037237900.0,2893448.6
2021-01-16,4025500300.0,4350873.0,4025821300.0,4328052.6,4035258100.0,3657131.1,4049374700.0,2653487.2
2021-01-17,4036465200.0,3952832.4,4036811000.0,3928015.1,4046977400.0,3198387.7,4062185500.0,2106924.6
2021-01-18,4044753200.0,4513359.4,4045122100.0,4490307.7,4055966200.0,3812586.8,4072188100.0,2798771.7
2021-01-19,4052966300.0,4572595.8,4053359900.0,4547880.0,4064930700.0,3821233.7,4082239600.0,2734230.2
2021-01-20,4061175200.0,4573115.0,4061591000.0,4550901.0,4073814900.0,3897809.1,4092100700.0,2920836.9
2021-01-21,4069546500.0,4595327.4,4069981700.0,4575953.0,4082775100.0,4006345.0,4101913100.0,3154258.0
2021-01-22,4077613300.0,4599446.7,4078069600.0,4578240.9,4091486500.0,3954788.6,4111557100.0,3022154.8
2021-01-23,4088075900.0,4363292.1,4088550100.0,4345437.9,4102491900.0,3820524.4,4123347700.0,3035296.7
2021-01-24,4100346500.0,3975992.4,4100841000.0,3955653.1,4115380800.0,3357678.3,4137131200.0,2463156.8
2021-01-25,4111978600.0,4505616.6,4112494400.0,4484338.6,4127659800.0,3858765.1,4150345900.0,2922958.2
2021-01-26,4122662400.0,4567428.6,4123194300.0,4551423.8,4138830200.0,4080882.1,4162220200.0,3376990.1
2021-01-27,4131908300.0,4603670.4,4132462700.0,4581014.5,4148764700.0,3914931.6,4173151200.0,2918526.0
2021-01-28,4140323100.0,4608283.1,4140896700.0,4589125.2,4157762000.0,4025880.8,4182991000.0,3183313.3
2021-01-29,4148412400.0,4585164.0,4149008600.0,4562597.1,4166537300.0,3899128.4,4192758800.0,2906633.5
2021-01-30,4156411500.0,4350726.5,4157032700.0,4325712.6,4175296800.0,3590306.3,4202618400.0,2490198.5
2021-01-31,4164500400.0,3972841.5,4165146600.0,3947928.0,4184143200.0,3215468.4,4212560500.0,2119768.7
2021-02-01,4172072700.0,4762429.2,4172738500.0,4742769.3,4192313100.0,4164768.3,4221595000.0,3300125.9
2021-02-02,4178128000.0,4840818.8,4178816100.0,4818542.7,4199045600.0,4163627.7,4229307200.0,3183928.4
2021-02-03,4187322000.0,4877768.0,4188029600.0,4858241.0,4208833200.0,4284149.9,4239953700.0,3425356.4
2021-02-04,4200529000.0,4901409.6,4201259200.0,4878793.1,4222727700.0,4213868.3,4254842900.0,3219195.0
2021-02-05,4221603100.0,4934371.8,4222350900.0,4916817.9,4244335500.0,4400733.3,4277222700.0,3628712.7
2021-02-06,4231971200.0,4717775.3,4232739500.0,4697230.8,4255328100.0,4093224.9,4289118800.0,3189681.3
2021-02-07,4241333900.0,4277301.6,4242122300.0,4257210.3,4265301600.0,3666527.9,4299975900.0,2782915.1
2021-02-08,4250221600.0,4875495.6,4251026800.0,4858648.4,4274701400.0,4363340.1,4310116700.0,3622399.4
2021-02-09,4258768000.0,4915052.9,4259588100.0,4900214.6,4283698900.0,4463967.7,4319766800.0,3811377.9
2021-02-10,4276827100.0,4872548.7,4277665700.0,4854013.1,4302321500.0,4309068.5,4339204500.0,3493875.9
2021-02-11,4285812300.0,4900030.6,4286670700.0,4880314.6,4311906100.0,4300662.4,4349656300.0,3433550.1
2021-02-12,4293852700.0,4898979.5,4294723800.0,4886188.3,4320335300.0,4510126.4,4358648000.0,3947568.5
2021-02-13,4301014500.0,4683729.3,4301901900.0,4667537.3,4327989400.0,4191491.9,4367014200.0,3479366.9
2021-02-14,4308190000.0,4235750.2,4309093200.0,4219878.4,4335647400.0,3753246.6,4375370200.0,3055203.5
2021-02-15,4315044700.0,4789604.2,4315969400.0,4768076.2,4343156500.0,4135153.0,4383826200.0,3188351.5
2021-02-16,4321328200.0,4857735.6,4322274100.0,4836636.2,4350081500.0,4216314.1,4391679100.0,3288362.9
2021-02-17,4327481700.0,4832292.0,4328446300.0,4813599.3,4356803200.0,4264033.9,4399223000.0,3441928.9
2021-02-18,4341201900.0,4890257.0,4342180500.0,4876175.7,4370951500.0,4462184.3,4413990500.0,3842887.0
2021-02-19,4356711400.0,4873427.1,4357704600.0,4858809.5,4386905300.0,4429052.4,4430587200.0,3786170.8
2021-02-20,4366023900.0,4682269.8,4367034300.0,4665065.3,4396740900.0,4159254.2,4441179400.0,3402602.0
2021-02-21,4382178900.0,4241063.9,4383205100.0,4225341.9,4413373800.0,3763113.0,4458503900.0,3071656.4
2021-02-22,4394640700.0,4793386.6,4395684000.0,4776317.8,4426354500.0,4274496.9,4472235200.0,3523813.7
2021-02-23,4407766100.0,4903171.1,4408824500.0,4887952.5,4439942500.0,4440526.3,4486492500.0,3771213.1
2021-02-24,4418047500.0,4951164.4,4419127200.0,4929879.0,4450871000.0,4304087.6,4498357200.0,3367954.9
2021-02-25,4427621100.0,4969804.9,4428720500.0,4950093.5,4461043900.0,4370578.9,4509396900.0,3503672.4
2021-02-26,4440522300.0,4971069.3,4441641600.0,4951203.5,4474549000.0,4367148.4,4523775800.0,3493449.6
2021-02-27,4452486500.0,4669747.0,4453623300.0,4652268.0,4487044500.0,4138384.8,4537040000.0,3369657.5
2021-02-28,4468357200.0,4207127.7,4469512000.0,4189060.2,4503464400.0,3657874.8,4554254500.0,2863264.9
2021-03-01,4481844400.0,4543297.6,4483020300.0,4522220.8,4517592400.0,3902563.8,4569309400.0,2975607.5
2021-03-02,4502280200.0,4586981.8,4503476000.0,4567092.5,4538632800.0,3982349.5,4591224600.0,3107621.6
2021-03-03,4516193100.0,4585182.7,4517405100.0,4569006.6,4553037500.0,4093431.3,4606340700.0,3382009.5
2021-03-04,4529468600.0,4661218.7,4530695800.0,4646031.3,4566774700.0,4199522.3,4620745800.0,3531581.4
2021-03-05,4548195400.0,4684413.2,4549438100.0,4668823.3,4585975400.0,4210481.5,4640632200.0,3524839.4
2021-03-06,4559241200.0,4502664.5,4560499300.0,4487355.5,4597486600.0,4037269.1,4652816700.0,3363976.6
2021-03-07,4582427700.0,4090874.6,4583700700.0,4075999.7,4621125400.0,3638675.0,4677109600.0,2984472.9
2021-03-08,4610768300.0,4589145.1,4612056400.0,4573925.8,4649928600.0,4126476.6,4706582200.0,3457129.1
2021-03-09,4625886700.0,4655644.1,4627192900.0,4637619.5,4665595000.0,4107695.3,4723041300.0,3314972.1
2021-03-10,4645422800.0,4674565.4,4646743300.0,4660249.3,4685566200.0,4239355.3,4743642200.0,3609732.4
2021-03-11,4660349200.0,4672591.5,4661682400.0,4659904.0,4700878300.0,4286892.1,4759512300.0,3728896.7
2021-03-12,4692598900.0,4656288.9,4693941700.0,4646691.0,4733419800.0,4364512.7,4792475900.0,3942397.0
2021-03-13,4728932500.0,4454736.0,4730289800.0,4440226.0,4770194500.0,4013633.5,4829888700.0,3375485.9
2021-03-14,4755490500.0,4016434.4,4756863900.0,4000350.0,4797241500.0,3527469.3,4857643100.0,2820078.2
2021-03-15,4778316600.0,4588061.8,4779707500.0,4570488.4,4820601800.0,4053830.5,4881776300.0,3280952.3
2021-03-16,4821072500.0,4609160.6,4822482200.0,4590384.5,4863928500.0,4038365.4,4925928800.0,3212589.9
2021-03-17,4853675200.0,4656885.2,4855103700.0,4638123.1,4897101600.0,4086516.8,4959927000.0,3261358.7
2021-03-18,4913207600.0,4654324.8,4914653400.0,4637038.8,4957159500.0,4128831.3,5020745100.0,3368594.4
2021-03-19,4975443300.0,4682960.1,4976908100.0,4663988.2,5019972000.0,4106213.1,5084392000.0,3271827.2
2021-03-20,5050365500.0,4469321.2,5051847900.0,4451670.2,5095430700.0,3932730.5,5160627100.0,3156439.1
2021-03-21,5112581000.0,4099195.3,5114084500.0,4078123.9,5158286800.0,3458627.4,5224409900.0,2531911.2
2021-03-22,5164493400.0,4113636.7,5166008600.0,4101926.6,5210555200.0,3757648.5,5277193200.0,3242636.5
2021-03-23,5215852600.0,4585079.5,5217382000.0,4570881.2,5262346000.0,4153450.0,5329608500.0,3529007.0
2021-03-24,5275252200.0,4678711.1,5276798900.0,4661367.8,5322272800.0,4151474.8,5390298100.0,3388716.4
2021-03-25,5313558600.0,4723892.0,5315125200.0,4703974.7,5361184700.0,4118406.0,5430086000.0,3242443.2
2021-03-26,5346747000.0,4703304.9,5348330900.0,4686091.9,5394896400.0,4180028.5,5464554700.0,3422999.0
2021-03-27,5381432200.0,4514586.8,5383036500.0,4494107.9,5430204200.0,3892028.2,5500763100.0,2991366.2
2021-03-28,5405119500.0,4138581.5,5406740100.0,4122382.0,5454384000.0,3646118.8,5525655300.0,2933667.8
2021-03-29,5427719700.0,4679487.9,5429356100.0,4663695.6,5477464200.0,4199402.9,5549430200.0,3504858.9
2021-03-30,5462169900.0,4760373.9,5463830500.0,4736051.1,5512653800.0,4020962.6,5585689400.0,2951248.5
2021-03-31,5482994700.0,4653266.2,5484676900.0,4631748.4,5534132800.0,3999123.3,5608114700.0,3052767.8
2021-04-01,5507308900.0,4118143.1,5509003800.0,4105476.3,5558832100.0,3733072.1,5633371200.0,3175985.8
2021-04-02,5528799900.0,3847818.8,5530511300.0,3831246.9,5580826900.0,3344033.6,5656094800.0,2615202.4
2021-04-03,5562762300.0,4074375.7,5564493700.0,4054326.6,5615398700.0,3464882.5,5691548300.0,2583122.2
2021-04-04,5593789100.0,4007995.5,5595540300.0,3988240.4,5647026000.0,3407441.7,5724044500.0,2538614.1
2021-04-05,5617725500.0,4647079.4,5619495700.0,4628087.2,5671539800.0,4069715.9,5749393600.0,3234438.1
2021-04-06,5657740400.0,4698934.2,5659529500.0,4680107.3,5712127100.0,4126597.6,5790808900.0,3298592.3
2021-04-07,5683299000.0,4661175.4,5685107500.0,4641662.5,5738278800.0,4067984.2,5817818800.0,3209808.1
2021-04-08,5705161900.0,4746467.2,5706990700.0,4726231.6,5760756900.0,4131306.7,5841186800.0,3241347.7
2021-04-09,5742500200.0,4669005.7,5744343800.0,4654155.3,5798546700.0,4217552.9,5879629700.0,3564431.5
2021-04-10,5766452100.0,4481663.5,5768315200.0,4462195.5,5823090400.0,3889835.7,5905029700.0,3033632.2
2021-04-11,5794137900.0,4170428.0,5796025000.0,4146485.1,5851504100.0,3442564.4,5934496300.0,2389556.6
2021-04-12,5826224800.0,4654656.7,5828128800.0,4637765.8,5884104500.0,4141173.3,5967839600.0,3398311.6
