,importancia
q_lag1,0.23711040145246368
ideam_0023087660_m3s_hoy,0.14188281325642468
ideam_0023087670_m3s_hoy,0.0994969964642978
precip_acum3,0.09294586943986169
mes_sin,0.07946185889693402
q_lag2,0.07621204473941229
q_lag3,0.05255105439305149
ideam_0023087150_m3s_hoy,0.04458651545302274
mes_cos,0.0436042036233364
precip_hoy,0.043426615646087297
precip_lag1,0.036111920680917745
precip_lag3,0.02609575779184798
precip_lag2,0.026044241868952562
ideam_0023087660_m3s_faltante,0.00046970629338982943
ideam_0023087150_m3s_faltante,0.0
ideam_0023087670_m3s_faltante,0.0
