,importancia
ideam_0023087150_m3s_hoy,0.45234950454419964
ideam_0023087670_m3s_hoy,0.3276674613259768
ideam_0023087660_m3s_hoy,0.040281423156385
q_lag1,0.027771351850024516
q_lag3,0.027259902379134383
mes_cos,0.02377764405767744
mes_sin,0.021346009181433093
precip_lag1,0.020732381761291017
precip_acum3,0.015970629021300916
precip_lag2,0.013125635603671597
precip_hoy,0.011954303520784054
precip_lag3,0.010951969311570062
q_lag2,0.006811784286551485
ideam_0023087150_m3s_faltante,0.0
ideam_0023087670_m3s_faltante,0.0
ideam_0023087660_m3s_faltante,0.0
