max_leaf_nodes,learning_rate,l2_regularization,min_samples_leaf,nse_val_promedio,gap_train_val_promedio
7,0.02,5.0,25,0.03418,0.43026
7,0.02,0.0,25,0.03416,0.43122
7,0.05,5.0,25,0.033280000000000004,0.4534000000000001
7,0.05,0.0,25,0.03318,0.46031999999999995
31,0.02,1.0,25,0.03308,0.4479
31,0.02,0.0,25,0.03300000000000001,0.4485799999999999
7,0.02,1.0,25,0.03256,0.43196
15,0.02,1.0,25,0.03208,0.45011999999999996
15,0.02,0.0,25,0.031140000000000008,0.45135999999999993
31,0.02,5.0,25,0.03062,0.44898
15,0.02,5.0,25,0.030320000000000003,0.44876000000000005
7,0.05,1.0,25,0.0301,0.46652000000000005
15,0.05,5.0,25,0.02944,0.484
31,0.05,1.0,25,0.025939999999999998,0.48582000000000003
31,0.05,5.0,25,0.02508,0.49119999999999997
31,0.05,0.0,25,0.022919999999999996,0.49462
15,0.05,1.0,25,0.018679999999999995,0.5039
15,0.05,0.0,25,0.01164,0.52806
15,0.02,1.0,15,0.01091999999999999,0.5238400000000001
7,0.02,5.0,15,0.009500000000000003,0.48819999999999997
31,0.02,0.0,15,0.0020199999999999997,0.5638
7,0.05,5.0,15,9.999999999999454e-05,0.53548
7,0.02,1.0,15,-0.00038000000000000257,0.49688
15,0.02,5.0,15,-0.0009000000000000008,0.55058
15,0.02,0.0,15,-0.0009599999999999997,0.57276
7,0.02,0.0,15,-0.0022799999999999986,0.49501999999999996
15,0.05,5.0,15,-0.0026999999999999967,0.602
15,0.05,1.0,15,-0.0036600000000000022,0.61136
31,0.02,1.0,15,-0.006880000000000014,0.57552
15,0.05,0.0,15,-0.008159999999999995,0.60536
7,0.05,1.0,15,-0.009199999999999996,0.5482600000000001
31,0.02,5.0,15,-0.009899999999999997,0.58612
31,0.05,1.0,15,-0.012020000000000003,0.6195400000000001
31,0.05,5.0,15,-0.012619999999999998,0.61262
7,0.05,0.0,15,-0.013899999999999996,0.55958
31,0.05,0.0,15,-0.023780000000000003,0.64994
