max_leaf_nodes,learning_rate,l2_regularization,min_samples_leaf,nse_val_promedio,gap_train_val_promedio
7,0.05,1.0,25,0.20942,0.15399999999999997
7,0.02,5.0,25,0.20942,0.14134
7,0.05,0.0,25,0.20934,0.14043999999999998
7,0.05,5.0,25,0.20918,0.15156
7,0.05,0.0,15,0.20870000000000002,0.15842
7,0.05,1.0,15,0.2084,0.15367999999999998
7,0.05,5.0,15,0.20839999999999997,0.15263999999999997
7,0.02,1.0,25,0.20835999999999996,0.13487999999999997
7,0.02,1.0,15,0.2076,0.14756
7,0.02,0.0,15,0.20726,0.14650000000000002
7,0.02,5.0,15,0.20669999999999997,0.1414
7,0.02,0.0,25,0.2063,0.13882
15,0.05,5.0,25,0.20324,0.21044000000000002
15,0.05,1.0,25,0.2032,0.21976
15,0.02,5.0,25,0.20202,0.20793999999999996
15,0.02,1.0,25,0.20166,0.19952
15,0.05,5.0,15,0.20134,0.22286
15,0.02,0.0,25,0.201,0.20705999999999997
15,0.02,0.0,15,0.20092,0.2193
15,0.05,1.0,15,0.2001,0.23094
15,0.02,5.0,15,0.19988,0.20957999999999996
15,0.05,0.0,15,0.19876,0.24733999999999998
15,0.02,1.0,15,0.19866,0.22046000000000002
15,0.05,0.0,25,0.19812000000000002,0.23242
31,0.02,0.0,25,0.19606,0.26559999999999995
31,0.02,5.0,25,0.19348,0.27434
31,0.02,1.0,25,0.19328,0.2734599999999999
31,0.05,1.0,25,0.19326,0.30490000000000006
31,0.05,5.0,25,0.1924,0.29174
31,0.02,1.0,15,0.19084,0.3184600000000001
31,0.05,0.0,25,0.1904,0.30942
31,0.05,5.0,15,0.19038,0.31526
31,0.05,0.0,15,0.19022,0.33415999999999996
31,0.02,5.0,15,0.18992,0.30316
31,0.02,0.0,15,0.18892,0.31714000000000003
31,0.05,1.0,15,0.18719999999999998,0.33940000000000003
