max_leaf_nodes,learning_rate,l2_regularization,min_samples_leaf,nse_val_promedio,gap_train_val_promedio
7,0.02,5.0,25,0.5235799999999999,0.11991999999999998
7,0.02,0.0,25,0.5233800000000001,0.12250000000000001
7,0.02,1.0,25,0.52264,0.12448
7,0.05,5.0,25,0.5226200000000001,0.13596000000000003
15,0.05,5.0,25,0.5220400000000001,0.18392
7,0.05,0.0,25,0.522,0.13336
7,0.02,0.0,15,0.5211600000000001,0.12876
7,0.05,1.0,25,0.52104,0.12948
7,0.05,1.0,15,0.5209400000000001,0.13848
7,0.05,0.0,15,0.52056,0.13582
15,0.02,5.0,25,0.5201,0.16404
7,0.02,1.0,15,0.52,0.12842
7,0.05,5.0,15,0.5196400000000001,0.14326
7,0.02,5.0,15,0.51932,0.13307999999999998
15,0.05,0.0,25,0.51924,0.19062
15,0.02,0.0,25,0.51912,0.16619999999999996
15,0.05,5.0,15,0.5189999999999999,0.19294
15,0.02,1.0,25,0.51894,0.16844
15,0.02,5.0,15,0.5187,0.18756
15,0.02,1.0,15,0.51712,0.19017999999999996
15,0.05,0.0,15,0.51692,0.20654000000000003
15,0.05,1.0,25,0.5167200000000001,0.20074
15,0.02,0.0,15,0.51574,0.18710000000000002
15,0.05,1.0,15,0.51558,0.20339999999999997
31,0.02,1.0,25,0.51308,0.2162
31,0.02,5.0,25,0.5125,0.22547999999999999
31,0.02,0.0,25,0.51242,0.22963999999999998
31,0.05,1.0,25,0.51232,0.23494
31,0.05,5.0,25,0.51076,0.24198000000000003
31,0.05,0.0,25,0.50924,0.24547999999999998
31,0.05,5.0,15,0.50916,0.26646000000000003
31,0.02,5.0,15,0.50864,0.23874
31,0.02,0.0,15,0.5060800000000001,0.2576
31,0.05,0.0,15,0.5053,0.26154
31,0.02,1.0,15,0.5048999999999999,0.23694
31,0.05,1.0,15,0.50362,0.27256
