max_leaf_nodes,learning_rate,l2_regularization,min_samples_leaf,nse_val_promedio,gap_train_val_promedio
7,0.05,0.0,25,0.57982,0.08567999999999998
7,0.05,5.0,25,0.5791000000000001,0.08711999999999998
15,0.05,1.0,25,0.5788599999999999,0.11172000000000004
7,0.05,0.0,15,0.5786600000000001,0.09584
15,0.05,5.0,15,0.57866,0.12842000000000003
7,0.05,1.0,15,0.5782,0.09059999999999999
7,0.05,5.0,15,0.5775399999999999,0.09373999999999996
7,0.02,1.0,25,0.57742,0.08580000000000002
7,0.05,1.0,25,0.57742,0.09532
15,0.05,5.0,25,0.5774000000000001,0.11403999999999995
7,0.02,5.0,15,0.57658,0.09060000000000001
7,0.02,5.0,25,0.57632,0.0826
7,0.02,0.0,25,0.57624,0.08393999999999997
15,0.05,0.0,25,0.57604,0.11286
15,0.05,1.0,15,0.5752599999999999,0.1275
31,0.05,0.0,15,0.57514,0.16588
7,0.02,1.0,15,0.57478,0.08716000000000002
7,0.02,0.0,15,0.57462,0.08946000000000001
15,0.05,0.0,15,0.57444,0.12698
15,0.02,5.0,25,0.57406,0.10434000000000002
15,0.02,1.0,15,0.5737400000000001,0.11432
15,0.02,0.0,25,0.57318,0.10886
31,0.05,0.0,25,0.5729000000000001,0.1471
15,0.02,0.0,15,0.57232,0.12418
31,0.05,5.0,25,0.5721799999999999,0.14914000000000002
31,0.05,5.0,15,0.5720600000000001,0.15589999999999998
31,0.05,1.0,15,0.57158,0.17162000000000002
15,0.02,1.0,25,0.57142,0.10848
15,0.02,5.0,15,0.57104,0.11494
31,0.02,5.0,25,0.57046,0.14143999999999995
31,0.05,1.0,25,0.5702,0.15330000000000002
31,0.02,5.0,15,0.56954,0.15068000000000004
31,0.02,1.0,15,0.56848,0.15192
31,0.02,0.0,15,0.567,0.15245999999999998
31,0.02,1.0,25,0.5657,0.14542
31,0.02,0.0,25,0.5646600000000002,0.146
