,importancia
ideam_0023087660_m3s_hoy,12.276349172486272
ideam_0023087150_m3s_hoy,11.54976717532736
precip_lag1,1.7500361628020358
q_lag2,1.109045281641059
precip_lag2,0.698387708362074
ideam_0023087150_m3s_faltante,0.0
ideam_0023087660_m3s_faltante,0.0
ideam_0023087670_m3s_faltante,0.0
mes_cos,-0.15611419717637603
q_lag3,-0.21408979050864616
precip_acum3,-1.9434899342589091
precip_lag3,-2.155444746114051
precip_hoy,-4.086028605753299
q_lag1,-5.759082251158065
mes_sin,-6.542902323733659
ideam_0023087670_m3s_hoy,-15.09192835769872
