,importancia
ideam_0023087670_m3s_hoy,145.95691856961446
q_lag1,114.19280482504605
q_lag2,51.49769633938026
q_lag3,37.91180200185536
ideam_0023087660_m3s_faltante,3.484821514192146
mes_cos,3.2129506008113538
precip_acum3,2.2180579929662882
precip_lag2,1.5020857945920398
precip_lag3,0.49343523311717946
ideam_0023087670_m3s_faltante,0.0
ideam_0023087150_m3s_faltante,-0.01927042269960566
precip_hoy,-1.6588878024168197
mes_sin,-2.040426043130327
precip_lag1,-2.6736384937157256
ideam_0023087660_m3s_hoy,-12.702187331264838
ideam_0023087150_m3s_hoy,-51.25436090059154
