,importancia
q_hoy,545.5878119452367
ideam_0023087670_m3s_hoy,41.243131040105006
q_lag2,35.673163355892925
q_lag3,26.006648241743328
q_lag1,25.446029297117995
ideam_0023087150_m3s_hoy,16.011229144702593
mes_cos,1.9653891859072488
precip_acum3,1.8671669471652776
precip_hoy,1.6546464294458758
mes_sin,0.16468967687223995
precip_lag2,0.0277480464126171
ideam_0023087670_m3s_faltante,0.0
ideam_0023087150_m3s_faltante,0.0
ideam_0023087660_m3s_faltante,-0.029258789257039553
ideam_0023087660_m3s_hoy,-0.3186538832877218
precip_lag3,-0.32426577241798926
precip_lag1,-0.5053966159105073
