fecha,objetivo_t1,evento,pred_evento,pred_persistencia,pred_hurdle
2021-04-16,45.28,0,0,24.705,24.705
2021-04-17,26.38,0,0,45.28,45.28
2021-04-18,18.71,0,0,26.38,26.38
2021-04-19,16.43,0,0,18.71,18.71
2021-04-20,31.78,0,0,16.43,16.43
2021-04-21,38.98,0,0,31.78,31.78
2021-04-22,128.57,1,0,38.98,38.98
2021-04-23,49.89,1,1,128.57,39.49174501785483
2021-04-24,34.31,0,0,49.89,49.89
2021-04-25,56.56,0,0,34.31,34.31
2021-04-26,48.8,0,0,56.56,56.56
2021-04-27,34.29,0,0,48.8,48.8
2021-04-28,41.714,0,0,34.29,34.29
2021-04-29,41.57,0,0,41.714,41.714
2021-04-30,33.461,0,0,41.57,41.57
2021-05-01,68.132,0,0,33.461,33.461
2021-05-02,39.244,0,0,68.132,68.132
2021-05-03,38.882,0,0,39.244,39.244
2021-05-04,42.048,0,0,38.882,38.882
2021-05-05,29.783,0,0,42.048,42.048
2021-05-06,46.93,0,0,29.783,29.783
2021-05-07,94.098,1,0,46.93,46.93
2021-05-08,41.734,1,1,94.098,41.39396033846052
2021-05-09,29.285,0,0,41.734,41.734
2021-05-10,24.48,0,0,29.285,29.285
2021-05-11,28.771,0,0,24.48,24.48
2021-05-12,28.236,0,0,28.771,28.771
2021-05-13,48.405,0,0,28.236,28.236
2021-05-14,150.421,1,0,48.405,48.405
2021-05-15,96.352,1,1,150.421,45.40706830387833
2021-05-16,178.52,1,0,96.352,96.352
2021-05-17,71.107,1,1,178.52,62.13692287324038
2021-05-18,70.515,0,0,71.107,71.107
2021-05-19,46.272,0,0,70.515,70.515
2021-05-20,30.229,0,0,46.272,46.272
2021-05-21,82.157,1,0,30.229,30.229
2021-05-22,85.185,0,0,82.157,82.157
2021-05-23,37.351,1,0,85.185,85.185
2021-05-24,103.989,1,0,37.351,37.351
2021-05-25,63.149,1,1,103.989,39.13913228262505
2021-05-26,21.877,1,0,63.149,63.149
2021-05-27,31.057,0,0,21.877,21.877
2021-05-28,55.089,0,0,31.057,31.057
2021-05-29,35.161,0,0,55.089,55.089
2021-05-30,85.736,1,0,35.161,35.161
2021-05-31,146.083,1,0,85.736,85.736
2021-06-01,55.561,1,1,146.083,57.78702672275393
2021-06-02,67.059,0,0,55.561,55.561
2021-06-03,43.427,0,0,67.059,67.059
2021-06-04,31.515,0,0,43.427,43.427
2021-06-05,53.467,0,0,31.515,31.515
2021-06-06,41.209,0,0,53.467,53.467
2021-06-07,81.02,1,0,41.209,41.209
2021-06-08,70.226,0,0,81.02,81.02
2021-06-09,48.393,0,0,70.226,70.226
2021-06-10,73.072,0,0,48.393,48.393
2021-06-11,68.669,0,0,73.072,73.072
2021-06-12,50.282,0,0,68.669,68.669
2021-06-13,66.786,0,0,50.282,50.282
2021-06-14,43.785,0,0,66.786,66.786
2021-06-15,49.334,0,0,43.785,43.785
2021-06-16,35.317,0,0,49.334,49.334
2021-06-17,36.019,0,0,35.317,35.317
2021-06-18,33.933,0,0,36.019,36.019
2021-06-19,44.584,0,0,33.933,33.933
2021-06-20,41.533,0,0,44.584,44.584
2021-06-21,29.612,0,0,41.533,41.533
2021-06-22,32.949,0,0,29.612,29.612
2021-06-23,88.819,1,0,32.949,32.949
2021-06-24,59.114,0,1,88.819,36.64658244789487
2021-06-25,32.045,0,0,59.114,59.114
2021-06-26,71.561,1,0,32.045,32.045
2021-06-27,43.948,0,0,71.561,71.561
2021-06-28,32.615,0,0,43.948,43.948
2021-06-29,32.184,0,0,32.615,32.615
2021-06-30,25.098,0,0,32.184,32.184
2021-07-01,24.729,0,0,25.098,25.098
2021-07-02,28.661,0,0,24.729,24.729
2021-07-03,26.539,0,0,28.661,28.661
2021-07-04,22.621,0,0,26.539,26.539
2021-07-05,25.242,0,0,22.621,22.621
2021-07-06,32.097,0,0,25.242,25.242
2021-07-07,19.087,0,0,32.097,32.097
2021-07-08,27.979,0,0,19.087,19.087
2021-07-09,24.767,0,0,27.979,27.979
2021-07-10,65.07,1,0,24.767,24.767
2021-07-11,26.661,1,0,65.07,65.07
2021-07-12,24.842,0,0,26.661,26.661
2021-07-13,16.862,0,0,24.842,24.842
2021-07-14,26.23,0,0,16.862,16.862
2021-07-15,66.331,1,0,26.23,26.23
2021-07-16,74.907,0,0,66.331,66.331
2021-07-17,96.241,0,0,74.907,74.907
2021-07-18,25.381,1,1,96.241,30.940919125518846
2021-07-19,22.876,0,0,25.381,25.381
2021-07-20,25.293,0,0,22.876,22.876
2021-07-21,18.384,0,0,25.293,25.293
2021-07-22,24.559,0,0,18.384,18.384
2021-07-23,93.869,1,0,24.559,24.559
2021-07-24,30.61,1,1,93.869,30.71139855679932
2021-07-25,19.171,0,0,30.61,30.61
2021-07-26,109.018,1,0,19.171,19.171
2021-07-27,39.212,1,1,109.018,31.602129265237323
2021-07-28,77.364,1,0,39.212,39.212
2021-07-29,41.932,0,1,77.364,24.55021220410674
2021-07-30,24.218,0,0,41.932,41.932
2021-07-31,19.56,0,0,24.218,24.218
2021-08-01,25.138,0,0,19.56,19.56
2021-08-02,23.157,0,0,25.138,25.138
2021-08-03,15.876,0,0,23.157,23.157
2021-08-04,16.414,0,0,15.876,15.876
2021-08-05,19.304,0,0,16.414,16.414
2021-08-06,22.519,0,0,19.304,19.304
2021-08-07,26.944,0,0,22.519,22.519
2021-08-08,23.871,0,0,26.944,26.944
2021-08-09,19.821,0,0,23.871,23.871
2021-08-10,21.378,0,0,19.821,19.821
2021-08-11,56.102,0,0,21.378,21.378
2021-08-12,69.954,0,0,56.102,56.102
2021-08-13,76.633,0,0,69.954,69.954
2021-08-14,45.399,0,0,76.633,76.633
2021-08-15,27.89,0,0,45.399,45.399
2021-08-16,64.999,1,0,27.89,27.89
2021-08-17,29.378,0,0,64.999,64.999
2021-08-18,45.487,0,0,29.378,29.378
2021-08-19,42.132,0,0,45.487,45.487
2021-08-20,31.983,0,0,42.132,42.132
2021-08-21,29.074,0,0,31.983,31.983
2021-08-22,128.952,1,0,29.074,29.074
2021-08-23,81.666,1,1,128.952,41.04935266783715
2021-08-24,65.973,0,0,81.666,81.666
2021-08-25,61.091,0,0,65.973,65.973
2021-08-26,32.251,0,0,61.091,61.091
2021-08-27,37.529,0,0,32.251,32.251
2021-08-28,28.728,0,0,37.529,37.529
2021-08-29,101.361,1,0,28.728,28.728
2021-08-30,60.394,1,1,101.361,36.14445570174877
2021-08-31,37.5,0,0,60.394,60.394
2021-09-01,32.81,0,0,37.5,37.5
2021-09-02,26.73,0,0,32.81,32.81
2021-09-03,32.578,0,0,26.73,26.73
2021-09-04,85.93,1,0,32.578,32.578
2021-09-05,47.025,1,1,85.93,34.649972638588565
2021-09-06,86.541,1,0,47.025,47.025
2021-09-07,47.91,1,0,86.541,86.541
2021-09-08,27.908,0,0,47.91,47.91
2021-09-09,39.238,0,0,27.908,27.908
2021-09-10,32.306,0,0,39.238,39.238
2021-09-11,40.525,0,0,32.306,32.306
2021-09-12,22.884,0,0,40.525,40.525
2021-09-13,57.622,0,0,22.884,22.884
2021-09-14,60.66,0,0,57.622,57.622
2021-09-15,28.429,0,0,60.66,60.66
2021-09-16,27.677,0,0,28.429,28.429
2021-09-17,27.475,0,0,27.677,27.677
2021-09-18,41.995,0,0,27.475,27.475
2021-09-19,24.542,0,0,41.995,41.995
2021-09-20,89.454,1,0,24.542,24.542
2021-09-21,47.09,1,0,89.454,89.454
2021-09-22,81.999,0,0,47.09,47.09
2021-09-23,48.51,0,0,81.999,81.999
2021-09-24,29.905,0,0,48.51,48.51
2021-09-25,24.611,0,0,29.905,29.905
2021-09-26,25.482,0,0,24.611,24.611
2021-09-27,25.811,0,0,25.482,25.482
2021-09-28,43.283,0,0,25.811,25.811
2021-09-29,51.901,0,0,43.283,43.283
2021-09-30,30.324,0,0,51.901,51.901
2021-10-01,121.363,1,0,30.324,30.324
2021-10-02,76.505,1,1,121.363,42.83396921984559
2021-10-03,37.593,1,0,76.505,76.505
2021-10-04,44.795,0,0,37.593,37.593
