fecha,objetivo_t1,evento,pred_evento,pred_persistencia,pred_hurdle
2021-04-16,60.054,0,0,84.95,84.95
2021-04-17,54.895,0,0,60.054,60.054
2021-04-18,52.767,0,0,54.895,54.895
2021-04-19,48.497,0,0,52.767,52.767
2021-04-20,49.767,0,0,48.497,48.497
2021-04-21,49.083,0,0,49.767,49.767
2021-04-22,50.879,0,0,49.083,49.083
2021-04-23,48.857,0,0,50.879,50.879
2021-04-24,47.163,0,0,48.857,48.857
2021-04-25,46.037,0,0,47.163,47.163
2021-04-26,51.209,0,0,46.037,46.037
2021-04-27,55.922,0,0,51.209,51.209
2021-04-28,82.571,0,0,55.922,55.922
2021-04-29,87.226,0,0,82.571,82.571
2021-04-30,63.651,0,0,87.226,87.226
2021-05-01,64.472,0,0,63.651,63.651
2021-05-02,125.64,1,0,64.472,64.472
2021-05-03,147.195,0,0,125.64,125.64
2021-05-04,116.254,0,0,147.195,147.195
2021-05-05,102.104,0,0,116.254,116.254
2021-05-06,119.342,0,0,102.104,102.104
2021-05-07,125.655,0,0,119.342,119.342
2021-05-08,104.726,0,0,125.655,125.655
2021-05-09,131.165,0,0,104.726,104.726
2021-05-10,74.611,1,0,131.165,131.165
2021-05-11,58.085,0,0,74.611,74.611
2021-05-12,57.659,0,0,58.085,58.085
2021-05-13,53.557,0,0,57.659,57.659
2021-05-14,52.219,0,0,53.557,53.557
2021-05-15,60.257,0,0,52.219,52.219
2021-05-16,138.334,1,0,60.257,60.257
2021-05-17,148.501,0,0,138.334,138.334
2021-05-18,123.17,0,0,148.501,148.501
2021-05-19,94.745,0,0,123.17,123.17
2021-05-20,68.187,0,0,94.745,94.745
2021-05-21,89.854,0,0,68.187,68.187
2021-05-22,101.034,0,0,89.854,89.854
2021-05-23,75.272,0,0,101.034,101.034
2021-05-24,64.667,0,0,75.272,75.272
2021-05-25,101.556,1,0,64.667,64.667
2021-05-26,87.774,0,0,101.556,101.556
2021-05-27,83.468,0,0,87.774,87.774
2021-05-28,79.016,0,0,83.468,83.468
2021-05-29,89.917,0,0,79.016,79.016
2021-05-30,81.782,0,0,89.917,89.917
2021-05-31,140.191,1,0,81.782,81.782
2021-06-01,234.333,1,0,140.191,140.191
2021-06-02,128.541,1,0,234.333,234.333
2021-06-03,86.848,1,0,128.541,128.541
2021-06-04,67.361,0,0,86.848,86.848
2021-06-05,70.72,0,0,67.361,67.361
2021-06-06,77.596,0,0,70.72,70.72
2021-06-07,113.183,1,0,77.596,77.596
2021-06-08,169.94,1,0,113.183,113.183
2021-06-09,112.265,1,0,169.94,169.94
2021-06-10,79.291,0,0,112.265,112.265
2021-06-11,122.775,1,0,79.291,79.291
2021-06-12,117.357,0,0,122.775,122.775
2021-06-13,106.78,0,0,117.357,117.357
2021-06-14,97.1,0,0,106.78,106.78
2021-06-15,90.75,0,0,97.1,97.1
2021-06-16,73.183,0,0,90.75,90.75
2021-06-17,97.754,0,0,73.183,73.183
2021-06-18,74.842,0,0,97.754,97.754
2021-06-19,75.791,0,0,74.842,74.842
2021-06-20,172.402,1,0,75.791,75.791
2021-06-21,99.156,1,0,172.402,172.402
2021-06-22,81.214,0,0,99.156,99.156
2021-06-23,118.383,1,0,81.214,81.214
2021-06-24,111.467,0,0,118.383,118.383
2021-06-25,85.997,0,0,111.467,111.467
2021-06-26,72.653,0,0,85.997,85.997
2021-06-27,107.542,1,0,72.653,72.653
2021-06-28,106.623,0,0,107.542,107.542
2021-06-29,71.428,1,0,106.623,106.623
2021-06-30,63.002,0,0,71.428,71.428
2021-07-01,58.062,0,0,63.002,63.002
2021-07-02,53.184,0,0,58.062,58.062
2021-07-03,50.806,0,0,53.184,53.184
2021-07-04,48.26,0,0,50.806,50.806
2021-07-05,46.21,0,0,48.26,48.26
2021-07-06,46.263,0,0,46.21,46.21
2021-07-07,45.234,0,0,46.263,46.263
2021-07-08,46.679,0,0,45.234,45.234
2021-07-09,61.049,0,0,46.679,46.679
2021-07-10,53.986,0,0,61.049,61.049
2021-07-11,43.373,0,0,53.986,53.986
2021-07-12,47.757,0,0,43.373,43.373
2021-07-13,40.142,0,0,47.757,47.757
2021-07-14,37.501,0,0,40.142,40.142
2021-07-15,54.211,0,0,37.501,37.501
2021-07-16,106.431,1,0,54.211,54.211
2021-07-17,80.226,0,0,106.431,106.431
2021-07-18,53.141,0,0,80.226,80.226
2021-07-19,43.609,0,0,53.141,53.141
2021-07-20,38.973,0,0,43.609,43.609
2021-07-21,36.558,0,0,38.973,38.973
2021-07-22,36.448,0,0,36.558,36.558
2021-07-23,35.784,0,0,36.448,36.448
2021-07-24,48.758,0,0,35.784,35.784
2021-07-25,47.459,0,0,48.758,48.758
2021-07-26,59.85,0,0,47.459,47.459
2021-07-27,50.437,0,0,59.85,59.85
2021-07-28,59.722,0,0,50.437,50.437
2021-07-29,44.361,0,0,59.722,59.722
2021-07-30,39.922,0,0,44.361,44.361
2021-07-31,37.12,0,0,39.922,39.922
2021-08-01,34.201,0,0,37.12,37.12
2021-08-02,32.474,0,0,34.201,34.201
2021-08-03,31.97,0,0,32.474,32.474
2021-08-04,31.633,0,0,31.97,31.97
2021-08-05,33.315,0,0,31.633,31.633
2021-08-06,31.796,0,0,33.315,33.315
2021-08-07,36.517,0,0,31.796,31.796
2021-08-08,39.917,0,0,36.517,36.517
2021-08-09,45.422,0,0,39.917,39.917
2021-08-10,50.838,0,0,45.422,45.422
2021-08-11,56.45,0,0,50.838,50.838
2021-08-12,70.511,0,0,56.45,56.45
2021-08-13,75.92,0,0,70.511,70.511
2021-08-14,128.965,1,0,75.92,75.92
2021-08-15,99.069,0,0,128.965,128.965
2021-08-16,96.857,0,0,99.069,99.069
2021-08-17,102.335,0,0,96.857,96.857
2021-08-18,72.151,0,0,102.335,102.335
2021-08-19,96.601,0,0,72.151,72.151
2021-08-20,56.955,1,0,96.601,96.601
2021-08-21,50.182,0,0,56.955,56.955
2021-08-22,72.011,0,0,50.182,50.182
2021-08-23,72.225,0,0,72.011,72.011
2021-08-24,81.678,0,0,72.225,72.225
2021-08-25,74.712,0,0,81.678,81.678
2021-08-26,64.398,0,0,74.712,74.712
2021-08-27,61.952,0,0,64.398,64.398
2021-08-28,50.757,0,0,61.952,61.952
2021-08-29,76.884,0,0,50.757,50.757
2021-08-30,106.382,0,0,76.884,76.884
2021-08-31,112.95,0,0,106.382,106.382
2021-09-01,83.503,0,0,112.95,112.95
2021-09-02,63.48,0,0,83.503,83.503
2021-09-03,64.055,0,0,63.48,63.48
2021-09-04,87.256,0,0,64.055,64.055
2021-09-05,82.423,0,0,87.256,87.256
2021-09-06,76.531,0,0,82.423,82.423
2021-09-07,98.93,0,0,76.531,76.531
2021-09-08,77.996,0,0,98.93,98.93
2021-09-09,65.566,0,0,77.996,77.996
2021-09-10,80.525,0,0,65.566,65.566
2021-09-11,74.75,0,0,80.525,80.525
2021-09-12,60.11,0,0,74.75,74.75
2021-09-13,58.233,0,0,60.11,60.11
2021-09-14,73.167,0,0,58.233,58.233
2021-09-15,59.964,0,0,73.167,73.167
