fecha,allsky_sfc_sw_dwn,clrsky_sfc_sw_dwn,t2m
2000-01-01,5.4528,6.559,19.81
2000-01-02,4.3634,6.4411,19.92
2000-01-03,4.8199,6.301,19.35
2000-01-04,4.6327,6.3634,19.35
2000-01-05,5.1031,6.6094,18.93
2000-01-06,3.1714,6.3084,18.1
2000-01-07,4.1549,6.3658,18.01
2000-01-08,4.0229,6.4802,18.43
2000-01-09,4.187,6.3742,18.07
2000-01-10,5.0515,6.5251,18.86
2000-01-11,4.3596,6.3554,19.33
2000-01-12,5.6657,6.5897,19.3
2000-01-13,5.2152,6.5318,19.35
2000-01-14,5.5478,6.7414,18.54
2000-01-15,4.5725,6.4404,18.58
2000-01-16,4.1424,6.4078,18.08
2000-01-17,4.1774,6.4298,17.35
2000-01-18,4.5864,6.5174,18.6
2000-01-19,4.3231,6.4193,18.96
2000-01-20,4.5754,6.5318,19.12
2000-01-21,4.7256,6.3977,19.92
2000-01-22,5.9806,6.7392,20.62
2000-01-23,5.2992,6.7128,20.37
2000-01-24,3.5045,6.4438,19.56
2000-01-25,4.2684,6.5861,19.87
2000-01-26,2.8169,6.8818,18.83
2000-01-27,5.5349,6.6972,19.05
2000-01-28,5.2034,6.7142,19.41
2000-01-29,3.1798,6.9365,18.58
2000-01-30,4.0238,6.425,18.65
2000-01-31,4.3752,6.5585,19.66
2000-02-01,3.3278,6.9259,20.2
2000-02-02,4.1364,6.4202,20.45
2000-02-03,4.7969,6.3787,20.57
2000-02-04,3.7466,7.0068,19.97
2000-02-05,4.079,6.5544,19.94
2000-02-06,5.4062,6.9725,19.86
2000-02-07,6.1498,7.0051,20.3
2000-02-08,5.2135,6.8052,20.53
2000-02-09,5.8697,6.8652,20.31
2000-02-10,5.4667,6.9422,19.99
2000-02-11,4.7986,7.0781,19.65
2000-02-12,5.1912,7.0008,19.86
2000-02-13,5.6897,7.0944,19.84
2000-02-14,5.8968,7.237,19.26
2000-02-15,5.4665,7.0493,19.45
2000-02-16,3.2794,6.8028,19.45
2000-02-17,3.2066,7.1318,18.8
2000-02-18,5.3023,7.0106,18.75
2000-02-19,5.04,6.9811,19.75
2000-02-20,2.9666,6.4193,19.46
2000-02-21,3.9833,6.7392,18.15
2000-02-22,4.278,6.8844,18.82
2000-02-23,3.2122,7.163,18.47
2000-02-24,3.0722,6.744,18.82
2000-02-25,3.6257,7.2809,18.38
2000-02-26,4.027,7.1095,19.5
2000-02-27,3.0684,7.2156,18.52
2000-02-28,3.9228,6.5894,19.01
2000-02-29,4.0879,7.0224,19.35
2000-03-01,3.4214,7.0025,19.61
2000-03-02,4.1294,6.9761,20.66
2000-03-03,3.9869,6.8093,20.82
2000-03-04,4.1004,6.6154,20.25
2000-03-05,5.5135,6.9336,20.73
2000-03-06,4.8948,6.8184,20.75
2000-03-07,4.3274,7.1285,20.28
2000-03-08,3.3794,6.9079,20.21
2000-03-09,4.2998,6.9187,20.16
2000-03-10,6.0528,7.1988,19.74
2000-03-11,4.7978,7.1256,19.9
2000-03-12,3.2323,6.9298,19.87
2000-03-13,4.7242,7.0896,20.45
2000-03-14,4.7585,7.0978,20.39
2000-03-15,5.063,6.7226,20.98
2000-03-16,4.2883,6.9058,21.18
2000-03-17,4.3747,7.1417,20.75
2000-03-18,5.7898,7.249,20.19
2000-03-19,5.6981,7.0843,19.93
2000-03-20,5.6357,7.3848,19.52
2000-03-21,5.0666,6.8798,19.55
2000-03-22,4.5106,6.9739,20.26
2000-03-23,4.325,6.9713,19.41
2000-03-24,4.1654,6.9614,18.6
2000-03-25,4.0646,7.3788,18.79
2000-03-26,3.9574,7.2204,18.68
2000-03-27,4.1777,7.321,18.93
2000-03-28,6.7735,7.5878,20.54
2000-03-29,5.167,7.2732,20.16
2000-03-30,4.1534,7.4544,20.47
2000-03-31,5.3563,7.4014,20.89
2000-04-01,4.6404,6.9504,20.29
2000-04-02,5.2279,7.2058,20.46
2000-04-03,3.5412,7.0826,20.41
2000-04-04,3.7997,6.9086,18.96
2000-04-05,4.3973,7.1246,19.16
2000-04-06,4.6073,7.1546,19.14
2000-04-07,4.5319,7.3709,20.41
2000-04-08,5.9498,7.3884,21.18
2000-04-09,6.1106,7.2401,21.21
2000-04-10,5.2788,7.3529,21.18
2000-04-11,3.0204,7.0224,20.59
2000-04-12,3.2285,7.2266,19.43
2000-04-13,4.2934,6.7058,20.1
2000-04-14,3.3245,7.5451,19.54
2000-04-15,4.9512,7.182,19.22
2000-04-16,4.2036,6.8654,20.49
2000-04-17,3.2578,7.3049,20.4
2000-04-18,4.771,7.1426,20.67
2000-04-19,4.2612,7.1508,19.28
2000-04-20,5.3971,7.247,20.84
2000-04-21,3.3439,7.4911,20.28
2000-04-22,4.3332,7.2029,19.78
2000-04-23,3.571,7.2192,20.35
2000-04-24,3.9814,7.2518,20.71
2000-04-25,5.4698,7.225,20.88
2000-04-26,4.4688,7.3174,20.65
2000-04-27,5.0767,7.2934,20.95
2000-04-28,5.9618,7.3445,21.03
2000-04-29,4.9123,7.2914,21.13
2000-04-30,3.8402,7.2401,21.12
2000-05-01,4.2787,7.2876,20.07
2000-05-02,4.6994,7.255,19.99
2000-05-03,5.7763,7.339,19.88
2000-05-04,3.8258,7.5022,20.26
2000-05-05,4.2086,7.037,20.77
2000-05-06,4.6274,7.2348,20.5
2000-05-07,5.0064,7.2293,20.48
2000-05-08,4.7844,7.2358,19.85
2000-05-09,5.0018,7.2797,20.6
2000-05-10,4.987,7.1203,20.84
2000-05-11,5.6285,7.1923,20.23
2000-05-12,4.8492,7.3637,20.17
2000-05-13,4.129,7.2538,20.13
2000-05-14,5.0249,7.1762,20.23
2000-05-15,4.6738,7.4753,20.05
2000-05-16,5.5133,7.3541,19.29
2000-05-17,5.7984,7.3459,21.11
2000-05-18,5.0146,7.3342,21.22
2000-05-19,3.7843,7.1791,20.61
2000-05-20,4.6054,6.8578,20.11
2000-05-21,4.8442,7.3229,19.96
2000-05-22,4.6234,7.2874,20.29
2000-05-23,6.017,7.4664,20.6
2000-05-24,5.7043,7.2511,20.19
2000-05-25,5.484,7.2079,20.42
2000-05-26,6.5575,7.3013,21.0
2000-05-27,5.7797,7.2425,20.65
2000-05-28,4.7414,7.3596,20.56
2000-05-29,4.2046,7.1722,19.18
2000-05-30,4.7273,6.8383,19.37
2000-05-31,4.2329,7.2984,19.95
2000-06-01,5.0419,6.8369,19.64
2000-06-02,5.2692,7.2533,20.5
2000-06-03,6.1387,7.1846,20.97
2000-06-04,4.2972,7.2432,19.83
2000-06-05,6.2842,7.1302,20.59
2000-06-06,4.5672,6.9583,20.19
2000-06-07,5.0474,7.1028,19.56
2000-06-08,3.4166,7.1556,19.6
2000-06-09,4.2041,6.8119,19.65
2000-06-10,4.4294,6.899,20.11
2000-06-11,6.6962,7.2562,20.78
2000-06-12,3.5508,7.1566,20.68
2000-06-13,5.0825,6.8611,20.77
2000-06-14,5.9045,7.1746,20.09
2000-06-15,4.6769,7.2127,19.47
2000-06-16,4.8605,6.8772,20.59
2000-06-17,4.9457,7.2067,18.75
2000-06-18,3.9958,7.2034,20.13
2000-06-19,4.8466,7.1647,20.02
2000-06-20,5.567,6.9516,20.25
2000-06-21,5.1631,7.0723,20.49
2000-06-22,4.859,6.6689,20.12
2000-06-23,4.3099,6.966,19.58
2000-06-24,3.6713,7.243,19.47
2000-06-25,5.6652,7.1105,19.54
2000-06-26,5.5692,7.0639,20.77
2000-06-27,6.149,7.0946,20.97
2000-06-28,6.0017,7.0582,21.1
2000-06-29,6.12,7.0224,20.0
2000-06-30,5.4739,7.0054,20.53
2000-07-01,6.5858,7.1986,20.91
2000-07-02,5.7787,6.948,20.44
2000-07-03,5.6818,7.1208,20.69
2000-07-04,6.0528,7.1206,19.66
2000-07-05,4.519,7.236,19.65
2000-07-06,4.0704,6.7769,19.14
2000-07-07,5.3299,7.068,19.91
2000-07-08,5.5284,7.0378,20.4
