fecha,allsky_sfc_sw_dwn,clrsky_sfc_sw_dwn,t2m
2000-01-01,4.2014,6.1354,24.97
2000-01-02,3.8287,6.1627,24.56
2000-01-03,3.8006,6.0398,24.78
2000-01-04,4.3056,6.1586,24.54
2000-01-05,4.3682,6.0602,24.46
2000-01-06,4.4834,6.1874,24.42
2000-01-07,4.3598,6.1798,24.03
2000-01-08,4.7959,6.2935,24.25
2000-01-09,4.3375,6.1639,24.49
2000-01-10,4.2437,6.2758,24.4
2000-01-11,3.9024,6.2112,24.61
2000-01-12,4.547,6.3547,24.96
2000-01-13,4.8091,6.384,24.12
2000-01-14,5.1905,6.4044,23.77
2000-01-15,5.1295,6.3905,23.9
2000-01-16,4.9102,6.419,23.51
2000-01-17,4.8809,6.3005,23.26
2000-01-18,4.782,6.3197,23.46
2000-01-19,3.517,6.4843,24.09
2000-01-20,4.2295,6.2069,24.26
2000-01-21,3.2652,6.0701,24.54
2000-01-22,3.6852,6.2011,25.89
2000-01-23,3.6698,6.4766,26.37
2000-01-24,3.641,6.3022,26.17
2000-01-25,3.6125,6.3276,24.96
2000-01-26,3.2285,6.57,24.07
2000-01-27,3.9698,6.2102,24.1
2000-01-28,4.2403,6.343,24.7
2000-01-29,2.8368,6.6367,24.2
2000-01-30,3.1853,6.3946,24.87
2000-01-31,4.1347,6.0266,25.04
2000-02-01,3.0348,6.499,24.08
2000-02-02,3.2825,6.6948,24.3
2000-02-03,3.6701,6.3658,24.74
2000-02-04,1.4794,6.7452,24.42
2000-02-05,3.7872,6.5544,24.66
2000-02-06,4.541,6.5554,26.03
2000-02-07,4.0531,6.7558,26.04
2000-02-08,3.5966,6.5923,25.76
2000-02-09,3.5606,6.5539,25.45
2000-02-10,4.1861,6.9907,25.36
2000-02-11,4.5998,6.624,25.26
2000-02-12,4.1592,6.6866,25.71
2000-02-13,5.2193,6.8258,26.04
2000-02-14,5.7612,6.7774,25.74
2000-02-15,5.0222,7.0128,25.3
2000-02-16,3.0787,6.9473,24.75
2000-02-17,3.7102,6.8942,25.46
2000-02-18,5.5822,6.7385,25.73
2000-02-19,5.1667,6.7438,25.79
2000-02-20,3.4426,7.0181,25.65
2000-02-21,4.493,6.8587,25.29
2000-02-22,4.0596,7.0382,25.01
2000-02-23,3.1831,5.9429,24.78
2000-02-24,3.0775,7.0222,24.79
2000-02-25,3.5575,6.6374,25.5
2000-02-26,4.4256,6.6631,25.88
2000-02-27,2.8325,6.9403,25.26
2000-02-28,3.3838,7.0836,24.73
2000-02-29,4.3234,7.085,25.23
2000-03-01,3.2196,6.9451,25.47
2000-03-02,3.5597,6.4822,25.71
2000-03-03,3.0821,6.6588,25.82
2000-03-04,2.8382,7.087,25.43
2000-03-05,3.1819,6.3763,26.14
2000-03-06,3.3634,7.0488,26.42
2000-03-07,2.8505,6.5683,25.44
2000-03-08,2.8486,6.9962,25.65
2000-03-09,3.203,7.0558,24.63
2000-03-10,4.4306,6.7572,25.46
2000-03-11,4.2737,6.2827,25.99
2000-03-12,3.815,6.505,26.31
2000-03-13,4.5878,6.7111,25.48
2000-03-14,4.2624,6.5232,25.74
2000-03-15,4.1918,6.0043,27.19
2000-03-16,2.9909,7.0414,26.28
2000-03-17,4.2185,6.8141,26.58
2000-03-18,4.4083,6.3151,26.88
2000-03-19,4.5209,6.7234,26.68
2000-03-20,5.3263,6.9312,26.61
2000-03-21,3.8443,6.8448,25.2
2000-03-22,4.0416,6.8539,25.06
2000-03-23,4.3339,6.995,24.7
2000-03-24,6.0998,7.1777,24.38
2000-03-25,4.122,7.1141,24.25
2000-03-26,4.9646,7.1122,24.32
2000-03-27,5.4398,6.9079,25.68
2000-03-28,5.4946,7.0742,26.97
2000-03-29,4.3337,6.7944,27.13
2000-03-30,2.8462,7.1875,26.76
2000-03-31,4.4172,6.3984,26.33
2000-04-01,3.8311,6.8966,27.69
2000-04-02,3.5345,7.0234,27.59
2000-04-03,3.1351,7.057,26.2
2000-04-04,3.3828,6.7721,25.25
2000-04-05,3.2954,6.3734,24.72
2000-04-06,3.7037,6.2597,25.5
2000-04-07,3.623,7.0135,25.39
2000-04-08,4.541,6.5842,27.3
2000-04-09,4.4323,6.9905,27.56
2000-04-10,4.206,7.0116,27.78
2000-04-11,3.0893,7.1628,26.33
2000-04-12,3.8098,6.9588,26.18
2000-04-13,3.8914,6.8786,26.45
2000-04-14,3.9389,7.1165,25.49
2000-04-15,5.9532,7.1462,25.03
2000-04-16,3.233,7.0711,25.18
2000-04-17,3.5503,7.1273,25.2
2000-04-18,4.4158,7.1306,24.7
2000-04-19,3.6274,7.2533,25.28
2000-04-20,3.9017,7.1885,26.69
2000-04-21,2.9201,7.0968,26.43
2000-04-22,4.0334,7.1129,26.99
2000-04-23,4.0368,6.912,25.89
2000-04-24,3.8626,7.4446,26.13
2000-04-25,4.1628,7.1165,25.61
2000-04-26,4.4239,7.0742,26.51
2000-04-27,3.6742,7.217,27.5
2000-04-28,4.0889,7.1513,26.94
2000-04-29,4.1321,7.1945,25.75
2000-04-30,4.2504,6.8659,25.95
2000-05-01,4.8041,7.0404,26.55
2000-05-02,4.6903,7.0409,26.62
2000-05-03,4.1189,7.0056,26.93
2000-05-04,3.3622,7.3286,25.79
2000-05-05,3.8918,7.2595,25.2
2000-05-06,4.4798,7.2041,25.83
2000-05-07,4.9087,7.1206,26.13
2000-05-08,4.5434,7.1734,25.23
2000-05-09,4.8324,7.0586,26.76
2000-05-10,3.935,7.1028,25.33
2000-05-11,4.2758,7.0344,26.38
2000-05-12,3.624,7.2348,25.22
2000-05-13,3.6886,7.3291,25.64
2000-05-14,4.8101,7.1294,25.64
2000-05-15,2.6822,7.1561,24.95
2000-05-16,4.0644,6.9924,25.93
2000-05-17,4.9745,7.1446,26.18
2000-05-18,4.067,7.1234,26.72
2000-05-19,3.6701,7.165,25.71
2000-05-20,4.5715,7.1282,25.36
2000-05-21,4.5682,7.1009,25.53
2000-05-22,3.7882,7.1323,25.98
2000-05-23,4.6798,7.0574,26.93
2000-05-24,4.5694,7.068,25.06
2000-05-25,4.746,7.093,25.33
2000-05-26,5.0914,7.0615,25.66
2000-05-27,3.9799,7.0522,26.3
2000-05-28,2.7238,7.1983,25.4
2000-05-29,4.3056,7.1208,25.89
2000-05-30,4.206,7.0337,25.83
2000-05-31,4.1681,7.1182,26.69
2000-06-01,4.056,7.0922,25.22
2000-06-02,4.0735,7.1256,26.25
2000-06-03,4.8005,6.9785,27.27
2000-06-04,3.3007,7.1575,25.47
2000-06-05,4.9318,6.9662,25.61
2000-06-06,4.7477,7.133,25.56
2000-06-07,4.1971,6.9814,24.66
2000-06-08,4.2226,6.9974,25.72
2000-06-09,4.7909,6.8822,25.24
2000-06-10,4.5187,6.9523,24.97
2000-06-11,4.5634,6.8966,25.53
