fecha,rio,aporte_energia_kwh,nombre_xm_original
2000-01-01,GUATAPE,4165900.0,GUATAPE
2000-01-02,GUATAPE,4235700.0,GUATAPE
2000-01-03,GUATAPE,3934300.0,GUATAPE
2000-01-04,GUATAPE,3556700.0,GUATAPE
2000-01-05,GUATAPE,3396500.0,GUATAPE
2000-01-06,GUATAPE,3766100.0,GUATAPE
2000-01-07,GUATAPE,4297600.0,GUATAPE
2000-01-08,GUATAPE,3331400.0,GUATAPE
2000-01-09,GUATAPE,3586900.0,GUATAPE
2000-01-10,GUATAPE,4340400.0,GUATAPE
2000-01-11,GUATAPE,3626500.0,GUATAPE
2000-01-12,GUATAPE,3604300.0,GUATAPE
2000-01-13,GUATAPE,3382200.0,GUATAPE
2000-01-14,GUATAPE,3312400.0,GUATAPE
2000-01-15,GUATAPE,3596400.0,GUATAPE
2000-01-16,GUATAPE,3296500.0,GUATAPE
2000-01-17,GUATAPE,3038000.0,GUATAPE
2000-01-18,GUATAPE,3333000.0,GUATAPE
2000-01-19,GUATAPE,3766100.0,GUATAPE
2000-01-20,GUATAPE,2980800.0,GUATAPE
2000-01-21,GUATAPE,3236300.0,GUATAPE
2000-01-22,GUATAPE,3575700.0,GUATAPE
2000-01-23,GUATAPE,3666200.0,GUATAPE
2000-01-24,GUATAPE,3293400.0,GUATAPE
2000-01-25,GUATAPE,3726500.0,GUATAPE
2000-01-26,GUATAPE,3613800.0,GUATAPE
2000-01-27,GUATAPE,2934800.0,GUATAPE
2000-01-28,GUATAPE,3345700.0,GUATAPE
2000-01-29,GUATAPE,3222100.0,GUATAPE
2000-01-30,GUATAPE,3003100.0,GUATAPE
2000-01-31,GUATAPE,3705800.0,GUATAPE
2000-02-01,GUATAPE,8880700.0,GUATAPE
2000-02-02,GUATAPE,2693700.0,GUATAPE
2000-02-03,GUATAPE,6010900.0,GUATAPE
2000-02-04,GUATAPE,3028400.0,GUATAPE
2000-02-05,GUATAPE,4129400.0,GUATAPE
2000-02-06,GUATAPE,3282300.0,GUATAPE
2000-02-07,GUATAPE,5925400.0,GUATAPE
2000-02-08,GUATAPE,3521800.0,GUATAPE
2000-02-09,GUATAPE,3136300.0,GUATAPE
2000-02-10,GUATAPE,3136300.0,GUATAPE
2000-02-11,GUATAPE,3239400.0,GUATAPE
2000-02-12,GUATAPE,2617600.0,GUATAPE
2000-02-13,GUATAPE,2679400.0,GUATAPE
2000-02-14,GUATAPE,2992000.0,GUATAPE
2000-02-15,GUATAPE,3045900.0,GUATAPE
2000-02-16,GUATAPE,3593200.0,GUATAPE
2000-02-17,GUATAPE,4808400.0,GUATAPE
2000-02-18,GUATAPE,3085500.0,GUATAPE
2000-02-19,GUATAPE,3847000.0,GUATAPE
2000-02-20,GUATAPE,4434000.0,GUATAPE
2000-02-21,GUATAPE,3501200.0,GUATAPE
2000-02-22,GUATAPE,2154300.0,GUATAPE
2000-02-23,GUATAPE,3761400.0,GUATAPE
2000-02-24,GUATAPE,2863500.0,GUATAPE
2000-02-25,GUATAPE,4998700.0,GUATAPE
2000-02-26,GUATAPE,10590800.0,GUATAPE
2000-02-27,GUATAPE,5945800.0,GUATAPE
2000-02-28,GUATAPE,3874000.0,GUATAPE
2000-02-29,GUATAPE,2744500.0,GUATAPE
2000-03-01,GUATAPE,3569400.0,GUATAPE
2000-03-02,GUATAPE,3461500.0,GUATAPE
2000-03-03,GUATAPE,11591800.0,GUATAPE
2000-03-04,GUATAPE,7013500.0,GUATAPE
2000-03-05,GUATAPE,5790400.0,GUATAPE
2000-03-06,GUATAPE,3577300.0,GUATAPE
2000-03-07,GUATAPE,5847500.0,GUATAPE
2000-03-08,GUATAPE,3648700.0,GUATAPE
2000-03-09,GUATAPE,3537700.0,GUATAPE
2000-03-10,GUATAPE,3532900.0,GUATAPE
2000-03-11,GUATAPE,3498000.0,GUATAPE
2000-03-12,GUATAPE,3856500.0,GUATAPE
2000-03-13,GUATAPE,4104000.0,GUATAPE
2000-03-14,GUATAPE,4816300.0,GUATAPE
2000-03-15,GUATAPE,3437700.0,GUATAPE
2000-03-16,GUATAPE,3088700.0,GUATAPE
2000-03-17,GUATAPE,4118300.0,GUATAPE
2000-03-18,GUATAPE,3152200.0,GUATAPE
2000-03-19,GUATAPE,3287000.0,GUATAPE
2000-03-20,GUATAPE,3556700.0,GUATAPE
2000-03-21,GUATAPE,2398600.0,GUATAPE
2000-03-22,GUATAPE,2866600.0,GUATAPE
2000-03-23,GUATAPE,3651900.0,GUATAPE
2000-03-24,GUATAPE,2335200.0,GUATAPE
2000-03-25,GUATAPE,3302900.0,GUATAPE
2000-03-26,GUATAPE,6889700.0,GUATAPE
2000-03-27,GUATAPE,7717800.0,GUATAPE
2000-03-28,GUATAPE,3778800.0,GUATAPE
2000-03-29,GUATAPE,3255300.0,GUATAPE
2000-03-30,GUATAPE,3356800.0,GUATAPE
2000-03-31,GUATAPE,4691000.0,GUATAPE
2000-04-01,GUATAPE,3428200.0,GUATAPE
2000-04-02,GUATAPE,4077000.0,GUATAPE
2000-04-03,GUATAPE,3475800.0,GUATAPE
2000-04-04,GUATAPE,4034200.0,GUATAPE
2000-04-05,GUATAPE,3374300.0,GUATAPE
2000-04-06,GUATAPE,3485300.0,GUATAPE
2000-04-07,GUATAPE,4624400.0,GUATAPE
2000-04-08,GUATAPE,3448800.0,GUATAPE
2000-04-09,GUATAPE,5144700.0,GUATAPE
2000-04-10,GUATAPE,5047900.0,GUATAPE
2000-04-11,GUATAPE,5222400.0,GUATAPE
2000-04-12,GUATAPE,7351400.0,GUATAPE
2000-04-13,GUATAPE,5631700.0,GUATAPE
2000-04-14,GUATAPE,5550800.0,GUATAPE
2000-04-15,GUATAPE,4062800.0,GUATAPE
2000-04-16,GUATAPE,4648200.0,GUATAPE
2000-04-17,GUATAPE,4016800.0,GUATAPE
2000-04-18,GUATAPE,4305500.0,GUATAPE
2000-04-19,GUATAPE,8477700.0,GUATAPE
2000-04-20,GUATAPE,4413400.0,GUATAPE
2000-04-21,GUATAPE,4356300.0,GUATAPE
2000-04-22,GUATAPE,12432600.0,GUATAPE
2000-04-23,GUATAPE,4246800.0,GUATAPE
2000-04-24,GUATAPE,6187000.0,GUATAPE
2000-04-25,GUATAPE,4951200.0,GUATAPE
2000-04-26,GUATAPE,4535500.0,GUATAPE
2000-04-27,GUATAPE,3910500.0,GUATAPE
2000-04-28,GUATAPE,3125200.0,GUATAPE
2000-04-29,GUATAPE,4180200.0,GUATAPE
2000-04-30,GUATAPE,5392200.0,GUATAPE
2000-05-01,GUATAPE,5560300.0,GUATAPE
2000-05-02,GUATAPE,6128300.0,GUATAPE
2000-05-03,GUATAPE,6858000.0,GUATAPE
2000-05-04,GUATAPE,12767300.0,GUATAPE
2000-05-05,GUATAPE,8985400.0,GUATAPE
2000-05-06,GUATAPE,9031400.0,GUATAPE
2000-05-07,GUATAPE,5027300.0,GUATAPE
2000-05-08,GUATAPE,6231400.0,GUATAPE
2000-05-09,GUATAPE,4646600.0,GUATAPE
2000-05-10,GUATAPE,3471000.0,GUATAPE
