fecha,volumen_util_kwh
2000-01-01,4228867700.0
2000-01-02,4224289400.0
2000-01-03,4219711400.0
2000-01-04,4212843600.0
2000-01-05,4199101000.0
2000-01-06,4185354700.0
2000-01-07,4178479300.0
2000-01-08,4178479300.0
2000-01-09,4180772600.0
2000-01-10,4180772600.0
2000-01-11,4178479300.0
2000-01-12,4173897200.0
2000-01-13,4167018800.0
2000-01-14,4162433000.0
2000-01-15,4157847100.0
2000-01-16,4157847100.0
2000-01-17,4157847100.0
2000-01-18,4157847100.0
2000-01-19,4155553800.0
2000-01-20,4169311700.0
2000-01-21,4176186800.0
2000-01-22,4176186800.0
2000-01-23,4171604700.0
2000-01-24,4167018800.0
2000-01-25,4160140000.0
2000-01-26,4157847100.0
2000-01-27,4150968300.0
2000-01-28,4146382400.0
2000-01-29,4141796600.0
2000-01-30,4141796600.0
2000-01-31,4144089500.0
2000-02-01,4148675400.0
2000-02-02,4155554200.0
2000-02-03,4176186800.0
2000-02-04,4180772600.0
2000-02-05,4180772600.0
2000-02-06,4183061800.0
2000-02-07,4185354700.0
2000-02-08,4180772600.0
2000-02-09,4176186800.0
2000-02-10,4176186800.0
2000-02-11,4169311700.0
2000-02-12,4169311700.0
2000-02-13,4169311700.0
2000-02-14,4169311700.0
2000-02-15,4164725900.0
2000-02-16,4162433000.0
2000-02-17,4162433000.0
2000-02-18,4155554200.0
2000-02-19,4153261200.0
2000-02-20,4148675400.0
2000-02-21,4146382400.0
2000-02-22,4141796600.0
2000-02-23,4141796600.0
2000-02-24,4144089500.0
2000-02-25,4146382400.0
2000-02-26,4144089500.0
2000-02-27,4148675400.0
2000-02-28,4153261200.0
2000-02-29,4160140000.0
2000-03-01,4171604700.0
2000-03-02,4185354700.0
2000-03-03,4210554400.0
2000-03-04,4217421900.0
2000-03-05,4219711100.0
2000-03-06,4222000200.0
2000-03-07,4224289400.0
2000-03-08,4217421900.0
2000-03-09,4210554400.0
2000-03-10,4201390200.0
2000-03-11,4194518900.0
2000-03-12,4203683100.0
2000-03-13,4199101000.0
2000-03-14,4192229800.0
2000-03-15,4187647700.0
2000-03-16,4183061800.0
2000-03-17,4178479700.0
2000-03-18,4176186800.0
2000-03-19,4171604700.0
2000-03-20,4169311700.0
2000-03-21,4169311700.0
2000-03-22,4162433000.0
2000-03-23,4155554200.0
2000-03-24,4153261200.0
2000-03-25,4148675400.0
2000-03-26,4155554200.0
2000-03-27,4160140000.0
2000-03-28,4160140000.0
2000-03-29,4164725900.0
2000-03-30,4171604700.0
2000-03-31,4169311700.0
2000-04-01,4164725900.0
2000-04-02,4167018800.0
2000-04-03,4173897600.0
2000-04-04,4176186800.0
2000-04-05,4173897600.0
2000-04-06,4180772600.0
2000-04-07,4194518900.0
2000-04-08,4192229800.0
2000-04-09,4192229800.0
2000-04-10,4187647700.0
2000-04-11,4187647700.0
2000-04-12,4187647700.0
2000-04-13,4187647700.0
2000-04-14,4185354700.0
2000-04-15,4185354700.0
2000-04-16,4187647700.0
2000-04-17,4192229800.0
2000-04-18,4192229800.0
2000-04-19,4192229800.0
2000-04-20,4194518900.0
2000-04-21,4189936800.0
2000-04-22,4201390200.0
2000-04-23,4201390200.0
2000-04-24,4215132700.0
2000-04-25,4219711100.0
