fecha,caudal_m3s
2001-12-16,649.62
2001-12-17,554.35
2001-12-18,422.02
2001-12-19,342.98
2001-12-20,505.19
2001-12-21,712.26
2001-12-22,420.55
2001-12-23,415.8
2001-12-24,386.69
2001-12-25,337.71
2001-12-26,326.59
2001-12-27,288.01
2001-12-28,280.28
2001-12-29,241.86
2001-12-30,219.87
2001-12-31,213.83
2002-01-01,209.47
2002-01-02,186.1
2002-01-03,168.26
2002-01-04,161.43
2002-01-05,154.98
2002-01-06,144.0
2002-01-07,130.72
2002-01-08,160.81
2002-01-09,188.85
2002-01-10,179.06
2002-01-11,139.0
2002-01-12,130.41
2002-01-13,123.96
2002-01-14,199.36
2002-01-15,166.65
2002-01-16,142.79
2002-01-17,152.96
2002-01-18,117.09
2002-01-19,143.75
2002-01-20,84.6
2002-01-21,105.25
2002-01-22,105.51
2002-01-23,143.79
2002-01-24,102.5
2002-01-25,94.99
2002-01-26,105.03
2002-01-27,106.4
2002-01-28,86.6
2002-01-29,94.92
2002-01-30,87.89
2002-01-31,76.34
2002-02-01,96.19
2002-02-02,84.57
2002-02-03,96.27
2002-02-04,133.26
2002-02-05,122.67
2002-02-06,114.74
2002-02-07,152.08
2002-02-08,120.57
2002-02-09,121.65
2002-02-10,121.38
2002-02-11,113.97
2002-02-12,98.8
2002-02-13,87.41
2002-02-14,84.41
2002-02-15,75.11
2002-02-16,89.45
2002-02-17,60.25
2002-02-18,51.62
2002-02-19,77.17
2002-02-20,61.81
2002-02-21,60.67
2002-02-22,67.35
2002-02-23,69.48
2002-02-24,55.38
2002-02-25,60.45
2002-02-26,53.7
2002-02-27,65.6
2002-02-28,58.68
2002-03-01,63.19
2002-03-02,52.19
2002-03-03,60.59
2002-03-04,51.83
2002-03-05,56.77
2002-03-06,50.7
2002-03-07,51.88
2002-03-08,49.2
2002-03-09,49.84
2002-03-10,49.64
2002-03-11,50.8
2002-03-12,57.22
2002-03-13,51.29
2002-03-14,56.99
2002-03-15,51.44
2002-03-16,53.92
2002-03-17,57.33
2002-03-18,76.8
2002-03-19,59.64
2002-03-20,73.35
2002-03-21,107.45
