fecha,aporte_energia_kwh
2001-12-16,6791400.0
2001-12-17,5795400.0
2001-12-18,4412000.0
2001-12-19,3585700.0
2001-12-20,5281500.0
2001-12-21,7446300.0
2001-12-22,4396600.0
2001-12-23,4346900.0
2001-12-24,4042600.0
2001-12-25,3530600.0
2001-12-26,3414300.0
2001-12-27,3011000.0
2001-12-28,2930200.0
2001-12-29,2528500.0
2001-12-30,2298600.0
2001-12-31,2235500.0
2002-01-01,2189900.0
2002-01-02,1945600.0
2002-01-03,1759100.0
2002-01-04,1687700.0
2002-01-05,1620200.0
2002-01-06,1505400.0
2002-01-07,1366600.0
2002-01-08,1681200.0
2002-01-09,1974300.0
2002-01-10,1872000.0
2002-01-11,1453200.0
2002-01-12,1363400.0
2002-01-13,1295900.0
2002-01-14,2084200.0
2002-01-15,1742200.0
2002-01-16,1492800.0
2002-01-17,1599100.0
2002-01-18,1224100.0
2002-01-19,1502800.0
2002-01-20,884400.0
2002-01-21,1100300.0
2002-01-22,1103000.0
2002-01-23,1503200.0
2002-01-24,1071600.0
2002-01-25,993100.0
2002-01-26,1098000.0
2002-01-27,1112300.0
2002-01-28,905400.0
2002-01-29,992300.0
2002-01-30,918800.0
2002-01-31,798100.0
2002-02-01,1005600.0
2002-02-02,884100.0
2002-02-03,1006400.0
2002-02-04,1393200.0
2002-02-05,1282400.0
2002-02-06,1199500.0
2002-02-07,1589900.0
2002-02-08,1260500.0
2002-02-09,1271800.0
2002-02-10,1269000.0
2002-02-11,1191500.0
2002-02-12,1032900.0
2002-02-13,913800.0
2002-02-14,882500.0
2002-02-15,785200.0
2002-02-16,935100.0
2002-02-17,629900.0
2002-02-18,539700.0
2002-02-19,806800.0
2002-02-20,646200.0
2002-02-21,634300.0
2002-02-22,704100.0
2002-02-23,726400.0
2002-02-24,579000.0
2002-02-25,632000.0
2002-02-26,561400.0
2002-02-27,685800.0
2002-02-28,613500.0
2002-03-01,660600.0
2002-03-02,545600.0
2002-03-03,633400.0
2002-03-04,541900.0
2002-03-05,593500.0
2002-03-06,530000.0
2002-03-07,542400.0
2002-03-08,514400.0
2002-03-09,521000.0
2002-03-10,519000.0
2002-03-11,531100.0
2002-03-12,598200.0
2002-03-13,536200.0
2002-03-14,595800.0
2002-03-15,537800.0
2002-03-16,563700.0
2002-03-17,599400.0
2002-03-18,802900.0
2002-03-19,623500.0
2002-03-20,766800.0
2002-03-21,1123300.0
2002-03-22,1653500.0
2002-03-23,1967100.0
2002-03-24,1290700.0
2002-03-25,966500.0
2002-03-26,850400.0
2002-03-27,941900.0
2002-03-28,947600.0
2002-03-29,3470800.0
2002-03-30,2321300.0
2002-03-31,1625700.0
2002-04-01,1431400.0
2002-04-02,1928200.0
2002-04-03,1836300.0
2002-04-04,1407900.0
2002-04-05,2816600.0
2002-04-06,4272100.0
2002-04-07,7309200.0
2002-04-08,7224900.0
2002-04-09,4910700.0
2002-04-10,3950800.0
2002-04-11,3703700.0
2002-04-12,3145600.0
2002-04-13,2921800.0
2002-04-14,2769800.0
2002-04-15,2246000.0
2002-04-16,2107200.0
2002-04-17,1805400.0
2002-04-18,5419500.0
2002-04-19,3283200.0
