fecha,obligacion_energia_firme_kwh
2006-12-01,1088135.15
2006-12-02,1027099.04
2006-12-03,928178.06
2006-12-04,1061229.32
2006-12-05,1085333.98
2006-12-06,1092452.03
2006-12-07,1082723.02
2006-12-08,957939.49
2006-12-09,1003281.27
2006-12-10,920531.44
2006-12-11,1079738.17
2006-12-12,1090155.91
2006-12-13,1087073.64
2006-12-14,1094583.31
2006-12-15,1092722.13
2006-12-16,1024398.06
2006-12-17,932207.42
2006-12-18,1074379.0
2006-12-19,1087991.24
2006-12-20,1092252.22
2006-12-21,1081552.42
2006-12-22,1077310.51
2006-12-23,1002285.77
2006-12-24,902337.82
2006-12-25,823577.49
2006-12-26,1004893.23
2006-12-27,1032357.87
2006-12-28,1032523.58
2006-12-29,1026613.76
2006-12-30,960034.73
2006-12-31,900057.9
2007-01-01,798835.08
2007-01-02,962354.27
2007-01-03,1009604.24
2007-01-04,1022271.36
2007-01-05,1024885.59
2007-01-06,978286.32
2007-01-07,878194.23
2007-01-08,875586.69
2007-01-09,1013496.77
2007-01-10,1027728.91
2007-01-11,1037446.15
2007-01-12,1050473.51
2007-01-13,1002113.85
2007-01-14,894673.43
2007-01-15,1047119.42
2007-01-16,1064608.87
2007-01-17,1060058.33
2007-01-18,1071684.87
2007-01-19,1070508.92
2007-01-20,1010046.6
2007-01-21,907762.08
2007-01-22,1061295.01
2007-01-23,1080556.25
2007-01-24,1080888.88
2007-01-25,1082908.01
2007-01-26,1074005.46
2007-01-27,1011165.38
2007-01-28,890229.09
2007-01-29,1061464.55
2007-01-30,1086873.59
2007-01-31,1081947.2
2007-02-01,1099627.42
2007-02-02,1095659.04
2007-02-03,1026668.69
2007-02-04,910198.65
2007-02-05,1075123.64
2007-02-06,1098596.3
2007-02-07,1098180.3
2007-02-08,1101568.39
2007-02-09,1092800.1
2007-02-10,1036781.32
2007-02-11,927451.06
2007-02-12,1093090.3
2007-02-13,1114588.07
2007-02-14,1108701.38
2007-02-15,1106678.74
2007-02-16,1104629.5
2007-02-17,1030743.88
2007-02-18,916978.1
2007-02-19,1065392.77
2007-02-20,1083224.75
